Factor,Pearson,p-value,Spearman,Significant,Error
momentum,0.428749207615871,1.6786748770632454e-16,0.41897799904915767,Yes,
technical,0.13804163302047176,0.011185549558953373,0.23181429033455375,Yes,
growth,0.1884823530897573,0.0005043270735598322,0.11710923688081647,Yes,
financial_health,0.06690953806498494,0.22053552856639597,0.09924770001678324,No,
liquidity,0.049094456995810484,0.3689469346271346,0.0909541764810738,No,
size,0.06529376246961019,0.23190867911326155,0.08904575090495205,No,
insider,0.04996889073834191,0.36046993885580103,0.048371125378656864,No,
value,0.10960524863889315,0.04436028128736856,0.021868005335612197,Yes,
options_flow,0.021641010398447957,0.6922183384801287,-0.03948629275738952,No,
carry,-0.08371760330450362,0.1250704050584931,-0.062222371624701955,No,
quality,-0.1315289029342951,0.015688457622614525,-0.15848566274751452,Yes,
stability,-0.23228729825524197,1.6515103232617957e-05,-0.22926815314991353,Yes,
