ticker,appearances,avg_score,linear_slope,linear_r2,score_std,score_cv,trend_consistency,avg_rank,stability_score,r2_adjusted_score,slope_adjusted_score,stability_adjusted_score,recommendation
DASH,26,92.26,0.0198,0.754,0.17,0.002,0.24,15.69,77.01,69.6,71.32,60.92,BUY - Stable quality
PINS,26,89.3,0.0729,0.876,0.58,0.007,0.36,28.23,82.81,78.19,85.24,53.79,BUY - Stable quality
BRK-B,26,75.58,-0.0418,0.92,0.33,0.004,0.52,173.46,67.56,69.5,65.89,49.66,BUY - Stable quality
META,26,94.6,0.0455,0.699,0.41,0.004,0.12,7.65,72.95,66.15,69.9,49.65,BUY - Stable quality
AXON,26,92.1,-0.0271,0.692,0.24,0.003,0.16,16.54,53.71,63.77,61.62,49.53,BUY - Stable quality
IPGP,26,73.84,0.0647,0.917,0.51,0.007,0.36,195.65,84.01,67.68,73.11,48.51,BUY - Stable quality
ALGN,26,80.39,0.0545,0.792,0.46,0.006,0.04,115.15,73.98,63.64,67.95,46.56,BUY - Stable quality
TYL,26,77.93,-0.0589,0.916,0.46,0.006,0.16,140.92,60.1,71.41,66.2,45.31,BUY - Stable quality
MNST,26,94.17,-0.0584,0.76,0.5,0.005,0.36,8.35,59.47,71.56,66.38,44.19,BUY - Stable quality
DOCU,26,82.33,-0.0436,0.767,0.37,0.005,0.24,93.46,57.35,63.12,59.7,43.47,BUY - Stable quality
TRMB,26,70.2,0.0655,0.874,0.53,0.007,0.32,240.88,81.86,61.33,66.31,43.46,BUY - Stable quality
ANSS,26,81.54,0.0661,0.765,0.57,0.007,0.16,103.5,75.45,62.35,67.46,43.06,BUY - Stable quality
VEEV,26,96.48,-0.0191,0.539,0.2,0.002,0.08,5.08,47.56,51.97,50.73,42.43,BUY - Stable quality
ZBRA,26,67.85,0.0706,0.881,0.56,0.008,0.12,280.77,78.0,59.78,65.01,41.56,BUY - Stable quality
TDG,26,75.54,0.0551,0.758,0.47,0.006,0.08,173.58,73.72,57.29,61.21,41.5,BUY - Stable quality
DECK,26,84.91,-0.0248,0.615,0.24,0.003,0.16,63.92,51.36,52.18,50.56,40.87,BUY - Stable quality
NBIX,26,80.15,0.028,0.623,0.27,0.003,0.04,117.81,69.15,49.92,51.67,40.81,BUY - Stable quality
DUOL,26,92.94,-0.0846,0.831,0.7,0.007,0.44,12.62,62.97,77.2,69.15,40.77,BUY - Stable quality
CPRT,26,88.95,-0.0827,0.85,0.67,0.008,0.36,30.54,61.93,75.57,67.87,40.57,BUY - Stable quality
APP,26,82.33,-0.0092,0.545,0.09,0.001,0.16,93.58,49.44,44.88,44.36,40.56,BUY - Stable quality
WDAY,26,84.41,-0.0768,0.858,0.62,0.007,0.04,69.27,55.79,72.39,65.53,40.41,BUY - Stable quality
CDNS,26,93.04,0.031,0.547,0.31,0.003,0.2,11.38,70.07,50.88,52.85,40.22,BUY - Stable quality
