ticker,appearances,avg_score,linear_slope,linear_r2,score_std,score_cv,trend_consistency,avg_rank,stability_score,r2_adjusted_score,slope_adjusted_score,stability_adjusted_score,recommendation
DASH,25,92.26,0.0214,0.795,0.17,0.002,0.29,15.76,79.51,73.39,75.35,64.22,BUY - Stable quality
PINS,25,89.25,0.0685,0.875,0.53,0.006,0.33,28.48,82.31,78.05,84.67,55.41,BUY - Stable quality
META,25,94.59,0.0483,0.716,0.41,0.004,0.17,7.68,74.39,67.75,71.83,50.88,BUY - Stable quality
BRK-B,25,75.61,-0.0408,0.911,0.31,0.004,0.58,173.36,68.58,68.86,65.36,49.96,BUY - Stable quality
DECK,25,84.91,-0.0289,0.746,0.24,0.003,0.21,64.12,56.27,63.35,61.07,49.2,BUY - Stable quality
ALGN,25,80.38,0.0586,0.825,0.47,0.006,0.08,115.32,75.85,66.35,71.18,48.58,BUY - Stable quality
IPGP,25,73.8,0.0643,0.906,0.49,0.007,0.33,196.36,83.2,66.89,72.22,48.57,BUY - Stable quality
AXON,25,92.12,-0.0272,0.669,0.24,0.003,0.12,16.52,52.32,61.66,59.57,48.04,BUY - Stable quality
TYL,25,77.96,-0.06,0.913,0.45,0.006,0.21,140.84,60.97,71.17,65.87,45.34,BUY - Stable quality
APP,25,82.33,-0.0103,0.604,0.1,0.001,0.21,93.6,52.18,49.76,49.12,44.83,BUY - Stable quality
TRMB,25,70.16,0.0653,0.86,0.51,0.007,0.29,241.44,80.9,60.31,65.19,43.23,BUY - Stable quality
MNST,25,94.2,-0.0571,0.732,0.48,0.005,0.33,8.32,58.1,68.92,64.03,43.22,BUY - Stable quality
DOCU,25,82.35,-0.0449,0.761,0.37,0.005,0.25,93.36,57.37,62.65,59.14,43.13,BUY - Stable quality
ANSS,25,81.5,0.0647,0.737,0.54,0.007,0.21,104.04,75.61,60.06,64.88,42.03,BUY - Stable quality
ZBRA,25,67.81,0.0692,0.866,0.54,0.008,0.08,281.44,76.87,58.75,63.78,41.52,BUY - Stable quality
WDAY,25,84.43,-0.0815,0.881,0.63,0.007,0.08,69.2,57.35,74.36,66.89,41.14,BUY - Stable quality
DUOL,25,92.97,-0.0878,0.833,0.69,0.007,0.5,12.48,64.24,77.42,69.05,40.77,BUY - Stable quality
CPRT,25,89.0,-0.0803,0.831,0.63,0.007,0.33,30.32,60.89,73.97,66.65,40.77,BUY - Stable quality
TDG,25,75.5,0.0523,0.729,0.44,0.006,0.04,174.08,72.12,55.04,58.61,40.66,BUY - Stable quality
GWRE,25,83.8,-0.0981,0.949,0.73,0.009,0.21,77.68,61.76,79.5,69.94,40.52,BUY - Stable quality
CPNG,25,72.64,0.063,0.769,0.52,0.007,0.25,211.0,77.34,55.82,60.19,39.64,BUY - High score acceptable risk
IDXX,25,77.03,0.0183,0.589,0.17,0.002,0.21,155.44,69.85,45.34,46.37,39.58,BUY - High score acceptable risk
AZTA,25,69.65,0.0253,0.668,0.22,0.003,0.08,250.28,71.4,46.55,48.02,39.27,HOLD - Stable but flat
QRVO,25,68.07,0.0539,0.776,0.44,0.006,0.12,276.68,75.13,52.81,56.34,39.1,HOLD - Stable but flat
VEEV,25,96.49,-0.0182,0.491,0.19,0.002,0.12,5.04,47.02,47.34,46.26,38.95,BUY - High score acceptable risk
NBIX,25,80.14,0.0274,0.586,0.26,0.003,0.08,118.04,68.93,46.98,48.59,38.62,BUY - High score acceptable risk
QGEN,25,76.93,0.0465,0.658,0.41,0.005,0.04,156.28,70.05,50.65,53.57,37.92,BUY - High score acceptable risk
MTD,25,67.41,0.0581,0.77,0.48,0.007,0.29,287.64,78.22,51.89,55.63,37.66,HOLD - Stable but flat
CELH,25,86.46,0.1006,0.708,0.86,0.01,0.08,45.8,71.92,61.25,68.8,36.95,BUY - High score acceptable risk
CDNS,25,93.02,0.0284,0.492,0.29,0.003,0.25,11.52,49.44,45.73,47.36,36.64,BUY - High score acceptable risk
TME,25,81.58,0.0685,0.662,0.61,0.007,0.12,102.84,71.6,53.98,58.56,36.42,BUY - High score acceptable risk
IT,25,71.81,-0.0675,0.842,0.53,0.007,0.25,222.08,59.52,60.46,55.41,36.21,BUY - High score acceptable risk
DDOG,25,85.98,0.0926,0.68,0.81,0.009,0.12,51.04,71.97,58.49,65.15,36.0,BUY - High score acceptable risk
ZM,25,85.14,-0.0314,0.568,0.3,0.004,0.04,60.2,47.52,48.36,46.47,35.73,BUY - High score acceptable risk
SPOT,25,89.13,-0.0126,0.461,0.13,0.002,0.17,29.68,47.03,41.13,40.48,35.69,BUY - High score acceptable risk
YELP,25,83.29,-0.0291,0.567,0.28,0.003,0.08,84.36,48.34,47.22,45.51,35.58,BUY - High score acceptable risk
CRM,25,79.72,-0.0298,0.592,0.28,0.004,0.25,122.64,52.41,47.2,45.45,35.52,BUY - High score acceptable risk
NOW,25,89.67,-0.0302,0.533,0.3,0.003,0.08,26.28,47.34,47.84,46.03,35.46,BUY - High score acceptable risk
GRMN,25,88.55,0.092,0.644,0.83,0.009,0.0,32.48,68.38,57.01,63.45,34.73,HOLD - Modest potential
NXT,25,92.94,0.0646,0.559,0.62,0.007,0.0,12.0,66.11,51.97,56.13,34.59,HOLD - Modest potential
FFIV,25,90.86,-0.019,0.466,0.2,0.002,0.12,21.32,46.25,42.3,41.3,34.39,WATCH - Monitor for opportunity
DY,25,61.23,0.0695,0.806,0.56,0.009,0.42,397.04,81.59,49.33,53.58,34.38,HOLD - Modest potential
MMYT,25,85.49,-0.0832,0.757,0.69,0.008,0.17,56.28,55.24,64.71,58.08,34.37,WATCH - Monitor for opportunity
GRAB,25,83.21,0.0479,0.554,0.46,0.006,0.08,84.28,67.74,46.11,48.86,33.38,HOLD - Modest potential
