Factor,Pearson,p-value,Spearman,Significant,Error
momentum,0.4358191179170221,4.690674078040937e-17,0.427249520976083,Yes,
technical,0.063485876828653,0.24511836999856718,0.21283386268411172,Yes,
liquidity,0.06286052761510383,0.24980764422619486,0.1397456344012725,Yes,
financial_health,0.05261759343040597,0.3355430522882756,0.11227221262307971,Yes,
options_flow,0.056409171989288395,0.3018335016772916,0.10102551941525933,No,
growth,0.12700378096311749,0.019686564742930093,0.06872270418392684,Yes,
insider,0.10048157090718438,0.0654154665140978,0.06428036441064934,No,
value,0.19307312161360296,0.0003641609626118955,0.05842974824971512,Yes,
size,0.0535008215206023,0.32748275826249906,0.037105891025761215,No,
carry,0.015417250930242014,0.7779524959314233,-0.07241989498329666,No,
quality,-0.13227543882538498,0.015102225092975076,-0.16233009978935747,Yes,
stability,-0.18878836478876412,0.0004936128850107786,-0.20730378472471422,Yes,
