Factor,Weight,Correlation,Effectiveness
momentum,65.0,0.21027960340058613,13.668174221038099
size,20.0,0.11903359262543323,2.3806718525086645
stability,-10.0,-0.1893396241709265,1.8933962417092651
financial_health,15.0,0.061487824607285274,0.9223173691092791
carry,-5.0,-0.12475418041180415,0.6237709020590207
technical,-5.0,-0.10487212044259023,0.5243606022129511
credit,5.0,0.034395420342444256,0.17197710171222128
growth,10.0,0.011527852204796674,0.11527852204796674
insider,5.0,0.021527555561519755,0.10763777780759877
value,0.0,-0.06306040398370168,-0.0
quality,0.0,-0.010779129972947858,-0.0
liquidity,0.0,-0.056059178720917625,-0.0
