Factor,Weight,Correlation,Effectiveness
momentum,72.0,0.2149922797358303,15.479444140979782
size,20.0,0.09215830224489176,1.843166044897835
stability,-10.0,-0.15611298984120894,1.5611298984120894
technical,-5.0,-0.1041970014567286,0.5209850072836429
liquidity,5.0,0.033781353891902566,0.16890676945951283
insider,5.0,0.028994375092724334,0.14497187546362167
value,0.0,-0.004648389100688181,-0.0
quality,0.0,-0.06548655032726136,-0.0
credit,0.0,-0.008492250430475922,-0.0
growth,5.0,-0.013054782802402487,-0.06527391401201244
carry,-5.0,0.019483105467215576,-0.09741552733607788
financial_health,13.0,-0.024688305367748645,-0.32094796978073237
