Date,GLD,SPY,^TNX,^VIX
2015-09-01,109.19999694824219,161.6571502685547,2.171999931335449,31.399999618530273
2015-09-02,108.62000274658203,164.7255401611328,2.193000078201294,26.09000015258789
2015-09-03,107.83999633789062,164.84356689453125,2.1679999828338623,25.610000610351562
2015-09-04,107.48999786376953,162.348388671875,2.128000020980835,27.799999237060547
2015-09-08,107.5199966430664,166.42835998535156,2.194000005722046,24.899999618530273
2015-09-09,106.12999725341797,164.202880859375,2.180999994277954,26.229999542236328
2015-09-10,106.37999725341797,165.09646606445312,2.2219998836517334,24.3700008392334
2015-09-11,106.16000366210938,165.84666442871094,2.183000087738037,23.200000762939453
2015-09-14,106.22000122070312,165.23135375976562,2.180000066757202,24.25
2015-09-15,105.9000015258789,167.2965850830078,2.2809998989105225,22.540000915527344
2015-09-16,107.30999755859375,168.74649047851562,2.302999973297119,21.350000381469727
2015-09-17,108.41000366210938,168.36720275878906,2.2170000076293945,21.139999389648438
2015-09-18,109.20999908447266,165.61582946777344,2.130000114440918,22.280000686645508
2015-09-21,108.52999877929688,166.4716796875,2.2139999866485596,20.139999389648438
2015-09-22,107.79000091552734,164.3109130859375,2.125,22.440000534057617
2015-09-23,108.22000122070312,164.0482177734375,2.1440000534057617,22.1299991607666
2015-09-24,110.48999786376953,163.455078125,2.119999885559082,23.469999313354492
2015-09-25,109.80999755859375,163.4126739501953,2.1679999828338623,23.6200008392334
2015-09-28,108.41999816894531,159.3114776611328,2.0950000286102295,27.6299991607666
2015-09-29,107.9800033569336,159.40469360351562,2.053999900817871,26.829999923706055
2015-09-30,106.86000061035156,162.37892150878906,2.059999942779541,24.5
2015-10-01,106.7300033569336,162.80264282226562,2.0420000553131104,22.549999237060547
2015-10-02,108.98999786376953,165.23455810546875,1.9889999628067017,20.940000534057617
2015-10-05,108.7699966430664,168.17483520507812,2.055999994277954,19.540000915527344
2015-10-06,109.86000061035156,167.59864807128906,2.0350000858306885,19.399999618530273
2015-10-07,109.69999694824219,168.97137451171875,2.062000036239624,18.399999618530273
2015-10-08,109.13999938964844,170.49659729003906,2.1080000400543213,17.420000076293945
2015-10-09,110.87000274658203,170.59828186035156,2.0989999771118164,17.079999923706055
2015-10-12,111.30999755859375,170.75938415527344,2.0899999141693115,16.170000076293945
2015-10-13,111.86000061035156,169.6831512451172,2.055000066757202,17.670000076293945
2015-10-14,113.80999755859375,168.86965942382812,1.9809999465942383,18.030000686645508
2015-10-15,113.29000091552734,171.46261596679688,2.0230000019073486,16.049999237060547
2015-10-16,112.48999786376953,172.2421875,2.0230000019073486,15.050000190734863
2015-10-19,112.0199966430664,172.32691955566406,2.0280001163482666,14.979999542236328
2015-10-20,112.7300033569336,172.1065673828125,2.071000099182129,15.75
2015-10-21,111.7300033569336,171.03895568847656,2.0299999713897705,16.700000762939453
2015-10-22,111.69000244140625,173.92835998535156,2.0250000953674316,14.449999809265137
