Factor,Weight,Correlation,Effectiveness
momentum,21.0,0.21027960340058613,4.415871671412309
credit,28.5,0.035711441996951115,1.0177760969131069
financial_health,15.0,0.061487824607285274,0.9223173691092791
growth,5.0,0.011527852204796674,0.05763926102398337
value,0.0,-0.06184494372079878,-0.0
insider,-1.0,0.021527555561519755,-0.021527555561519755
quality,8.0,-0.010779129972947858,-0.08623303978358286
size,-1.0,0.12096183188880356,-0.12096183188880356
carry,2.0,-0.06635461315569705,-0.1327092263113941
stability,1.0,-0.1893396241709265,-0.1893396241709265
technical,3.0,-0.10487212044259023,-0.3146163613277707
liquidity,18.5,-0.056059178720917625,-1.037094806336976
