ticker,appearances,avg_score,linear_slope,linear_r2,score_std,score_cv,trend_consistency,avg_rank,stability_score,r2_adjusted_score,slope_adjusted_score,recommendation
CELH,6,85.28833333333333,0.414571428571428,0.8256868464965977,0.7791751336438332,0.009135776291917612,0.2,57.5,77.85702776570616,70.42145499295066,89.8725564611572,STRONG BUY - High conviction
DASH,6,92.00666666666666,0.04742857142857174,0.8496197327852428,0.0878761755097603,0.0009551066101343414,0.4,17.166666666666668,83.39308132254385,78.17067954779424,80.94664054174014,BUY - High score acceptable risk
VEEV,6,96.70333333333333,0.08342857142857109,0.7732059730367071,0.16203566136982,0.001675595409015408,0.6,5.0,85.02861965019967,74.77159494589303,79.42588923124416,BUY - High score acceptable risk
AXON,6,92.28166666666668,0.006571428571427874,0.8555256064691293,0.012133516482132596,0.0001314834995986844,0.6,15.166666666666666,74.22404841554189,78.94932884098205,79.33842364558696,BUY - High score acceptable risk
PODD,6,82.27833333333332,0.11742857142857141,0.8823781374332959,0.21349603170915257,0.0025948025811876672,0.6,92.5,88.21186386488012,72.60060251778252,78.92932399737522,BUY - High score acceptable risk
MNST,6,94.63666666666666,0.11714285714285537,0.7515424279455185,0.23077165240894218,0.0024385014871854695,0.6,7.166666666666667,84.30242268964702,71.12347023933738,77.30864892055953,BUY - High score acceptable risk
CPNG,6,72.07,0.1937142857142866,0.9267448893189743,0.3436568055487933,0.004768375267778456,0.6,215.33333333333334,89.32550915279138,66.79050417321847,76.23002852490463,BUY - Steady performer
HIMS,6,98.51833333333333,0.09742857142857095,0.7213536120100366,0.19590955963289602,0.0019885594183779265,0.2,3.5,75.44175241846331,71.06655559920878,76.22283369567006,BUY - High score acceptable risk
AR,6,64.11666666666666,0.3731428571428585,0.9476106522463796,0.6546415473796009,0.010210161903503004,1.0,338.8333333333333,97.40730337704109,60.7576363198637,76.18294949562996,STRONG BUY - High conviction
NTCT,6,77.85166666666667,0.10085714285714246,0.8923695737798721,0.18233820834433487,0.002342123375791589,0.6,140.66666666666666,88.536874875817,69.47245860138602,74.68782576651728,BUY - Steady performer
CF,6,72.26333333333334,0.44342857142857217,0.7917395648896429,0.8510908033550575,0.01177763001090997,0.4,213.0,80.57442394559828,57.213740090808564,73.85652430222092,BUY - Quality growth
PLTR,6,102.01666666666665,0.0617142857142852,0.6723412431549554,0.12853879656439318,0.001259978401219342,0.2,1.0,74.04423945452673,68.59001248919135,71.75571258202231,BUY - High score acceptable risk
IDXX,6,76.77833333333335,0.043142857142856074,0.9027119762454465,0.07754926749421077,0.0010100410379778682,0.6,153.83333333333334,88.9803551835656,69.308721016165,71.54822777011037,BUY - Steady performer
CSGP,6,80.27166666666668,0.3499999999999993,0.7177213706594963,0.7055592738309711,0.008789642761011204,0.2,114.16666666666667,74.65267684368376,57.612690625122205,71.48438040199862,BUY - Quality growth
CDNS,6,92.88666666666667,-0.11485714285714235,0.8390944650212976,0.21413910328465258,0.002305380427237342,0.6,12.0,66.9422959079152,77.94068787427827,71.2923044527318,WATCH - Needs more analysis
ZM,6,85.41666666666667,0.10914285714285694,0.7671596803589025,0.21281186266016353,0.0024914559530945972,0.4,54.666666666666664,80.76564481545762,65.52822269732292,70.8447618278529,BUY - High score acceptable risk
PLNT,6,73.235,0.3717142857142851,0.770518116906916,0.723204673657463,0.009875123556461569,0.2,199.16666666666666,76.12803115156132,56.42889429167799,70.71029440795617,BUY - Quality growth
DECK,6,85.19666666666667,-0.07257142857142672,0.8766554941570747,0.13237153101109575,0.0015537172543264104,0.4,58.666666666666664,64.1442930992796,74.68812591720224,70.63893942125523,HOLD - Stable but flat
FIZZ,6,84.27833333333334,-0.21571428571428725,0.9898358160143771,0.3702889262304382,0.004393643200867422,1.0,69.83333333333333,79.25571016034456,83.42171284733168,70.37736630624786,WATCH - Needs more analysis
NXT,6,92.23333333333333,0.08171428571428367,0.713669148441128,0.16519348924484828,0.001791038914833917,0.6,15.5,83.23097056175045,65.82408445788671,69.83807883972635,BUY - High score acceptable risk
KEYS,6,84.63833333333332,0.1117142857142844,0.7492758713640393,0.22040997154292843,0.0026041388442147387,0.2,67.16666666666667,76.2178622564997,63.41746095913334,68.68175609478043,BUY - High score acceptable risk
BSX,6,76.93166666666667,0.22942857142857068,0.758600310981001,0.4498672643742312,0.005847621452469479,0.6,152.66666666666666,84.17324718418308,58.36038625762004,68.02401806579786,BUY - Quality growth
ADSK,6,82.74,-0.17257142857142838,0.9266815687868277,0.30615900008546776,0.003700253808139567,0.4,86.83333333333333,65.43042168279088,76.67363300142212,66.96574397654433,WATCH - Needs more analysis
CPRT,6,89.64833333333333,-0.13228571428571215,0.8234879090344357,0.2489589435138939,0.002777061594533015,0.6,25.5,66.42693111157976,73.82431856508876,66.59453168283245,WATCH - Needs more analysis
AMZN,6,79.69333333333334,0.07314285714285804,0.7911790744466888,0.14043582955293982,0.0017622029808382943,0.2,120.5,77.55915193531683,63.05169770623812,66.49672193124819,HOLD - Stable but flat
LULU,6,82.16000000000001,-0.06628571428571449,0.8505689001264467,0.12274635093014558,0.0014939916130738261,0.4,94.16666666666667,63.367667842486014,69.88274083438887,66.4199737952336,HOLD - Stable but flat
FFIV,6,91.05166666666666,-0.06657142857142771,0.7567641660664743,0.1306925994674349,0.0014353674595094532,0.6,20.166666666666668,64.55938823604328,68.9046385939626,65.47571795737119,HOLD - Stable but flat
ANSS,6,81.11166666666666,-0.0528571428571423,0.8331642796283703,0.09889669132764425,0.0012192659255057135,0.2,106.33333333333333,58.873001796300535,67.57934332778983,64.90590467335099,HOLD - Stable but flat
