ticker,appearances,avg_score,linear_slope,linear_r2,score_std,score_cv,trend_consistency,avg_rank,stability_score,r2_adjusted_score,slope_adjusted_score,recommendation
COIN,10,82.428,0.6616969696969692,0.8502792104750181,2.0611297872768697,0.025005214093231302,0.7777777777777778,90.8,88.56341046048297,70.08681476103479,102.6574714738954,STRONG BUY - Elite performer
AMD,10,84.24300000000001,0.1907272727272716,0.865764187261063,0.5887622610188233,0.006988856771705937,0.4444444444444444,71.7,84.16292882955018,72.93457242743374,89.11480768958937,BUY - High score acceptable risk
PLNT,10,73.85900000000001,0.3133939393939401,0.8865314903166559,0.9560277192634126,0.012943956989174134,0.2222222222222222,192.7,79.7459934550267,65.4783293432979,86.91273807337511,STRONG BUY - High conviction
DDOG,10,85.39099999999999,0.20975757575757567,0.8074077279538546,0.6704990678591572,0.007852104646381437,0.1111111111111111,57.1,75.65924359619972,68.9453532977076,85.52961134626133,BUY - Quality growth
CELH,10,85.681,0.24672727272727207,0.7757760467930414,0.8045924434146742,0.009390558506724643,0.3333333333333333,53.3,79.00089221978544,66.46926746527457,84.71204966606622,BUY - Quality growth
CF,10,72.93199999999999,0.3397575757575756,0.8267303781186492,1.0732828145461006,0.014716212561647847,0.4444444444444444,205.5,82.21917897628359,60.29509993694931,81.11960199500516,STRONG BUY - High conviction
MU,10,74.33200000000001,0.2626666666666675,0.8453160982699601,0.8205827197790624,0.011039427430703632,0.5555555555555556,185.9,85.36665131613955,62.834036216602684,80.93466270270197,BUY - Quality growth
ITRI,10,68.64899999999999,0.2504848484848495,0.9102109226553332,0.7541147127592752,0.010985079356717145,0.4444444444444444,257.4,85.09670863287717,62.48506962936596,79.8383748672745,BUY - Quality growth
IDXX,10,76.879,0.04781818181818122,0.9552014141107137,0.1405311353401787,0.001827952176019182,0.5555555555555556,153.9,89.5843583168306,73.43492951541756,77.80354453574643,BUY - Steady performer
DASH,10,92.071,0.03739393939393992,0.7864224080053436,0.12111564721372844,0.0013154592348701376,0.2222222222222222,16.5,77.90557076111773,72.40669752745998,75.78133703038185,BUY - High score acceptable risk
BRO,10,68.31500000000001,0.3104848484848489,0.8114341939996839,0.9900126261821115,0.014491877716198658,0.1111111111111111,263.8,75.11606027059287,55.43312696308841,73.46350495545155,BUY - Quality growth
PDD,10,82.554,0.04654545454545399,0.8389717679991645,0.14595889832415068,0.0017680415040355487,0.5555555555555556,89.7,86.10346000068249,69.26047533540303,73.27208564454011,BUY - High score acceptable risk
RDDT,10,90.827,0.11484848484848528,0.6973740196098559,0.3950202526453537,0.00434915006160452,0.3333333333333333,21.4,77.15297224880189,63.34039007910438,72.19167214907327,BUY - High score acceptable risk
NBIX,10,79.989,0.05884848484848473,0.8317837315188094,0.1853348321282317,0.0023170039896514734,0.3333333333333333,117.5,81.38847821326578,66.53354890045804,71.39278871591716,BUY - Steady performer
JBL,10,59.653999999999996,0.6355151515151517,0.8153443868077759,2.021540007024348,0.03388775282503014,0.3333333333333333,414.8,77.73822298839693,48.63855405063106,71.01139581122763,BUY - Steady performer
NXT,10,92.33099999999999,0.056909090909090576,0.7146170847526916,0.19336235414371455,0.0020942300434709316,0.3333333333333333,14.4,77.89575620490032,65.98131005230076,70.64356582330375,BUY - High score acceptable risk
UTHR,10,90.707,-0.06006060606060569,0.8411302762225648,0.18809837851507188,0.002073691980939419,0.3333333333333333,22.2,61.693205755249664,76.29640396532018,70.61105585190937,HOLD - Stable but flat
MTSI,10,86.949,0.09981818181818217,0.7099143504760576,0.3402778276643962,0.003913533538791662,0.5555555555555556,38.9,82.01718827151367,61.726342859542726,69.27212085657796,BUY - High score acceptable risk
APP,10,82.40799999999999,-0.03527272727272707,0.8760979546230524,0.10824047302187757,0.001313470452163353,0.4444444444444444,91.2,65.04048048236413,72.1974802445765,69.02245314859921,HOLD - Stable but flat
ULTA,10,70.33,0.2791515151515149,0.7539415262037531,0.9234175653516652,0.013129781961491045,0.1111111111111111,233.6,73.5274898121857,53.024707537909954,69.01217739134977,BUY - Quality growth
CCJ,10,75.31099999999999,0.17024242424242464,0.7597669111734477,0.5609893047108845,0.007448969004672419,0.5555555555555556,172.2,83.1592215458473,57.218805847383514,68.70956372471817,HOLD - Modest potential
SPOT,10,89.225,0.00624242424242425,0.7564349376113755,0.020615528128089543,0.0002310510297348226,0.5555555555555556,27.9,70.02347837890315,67.49290730837497,68.01951375852211,BUY - High score acceptable risk
VST,10,65.81099999999999,0.3503636363636361,0.7638667170334735,1.1514291120168874,0.017495997812172547,0.3333333333333333,309.2,77.83306839645363,50.27083251468992,67.97531390197179,BUY - Quality growth
LPX,10,72.77799999999999,0.21830303030303047,0.747465299309803,0.7252558169363417,0.00996531667449424,0.3333333333333333,206.7,78.09409397851132,54.39902955316884,67.92626907095868,BUY - Quality growth
AEIS,10,74.066,0.2946666666666672,0.6856688146023898,1.0221174100855552,0.013800089245882797,0.3333333333333333,189.5,75.85672218015009,50.7847464223406,66.70898964597306,BUY - Quality growth
LULU,10,82.02799999999999,-0.06133333333333346,0.871858261227856,0.1886690223645628,0.002300056351057722,0.4444444444444444,95.6,64.81463109061879,71.51678945199856,66.07640540581426,HOLD - Stable but flat
IPGP,10,73.34599999999999,0.1060606060606058,0.7953363811922008,0.341590397991512,0.0046572464482250156,0.2222222222222222,199.8,77.83881123538796,58.33474221492315,65.89222893592422,HOLD - Modest potential
GOLD,10,74.808,0.30072727272727323,0.6660599438270087,1.0583836733434628,0.014148001194303587,0.1111111111111111,180.1,70.78922041760212,49.826612277810874,65.67726487133228,HOLD - Modest potential
