Portfolio,Tickers
TopRank_S10_P50,"SMR, QBTS, DAVE, RKLB, CRDO, AVAV, CIEN, HSAI, OKLO, ALAB"
SectorBal2_S10_P50,"SMR, QBTS, DAVE, RKLB, HSAI, OKLO, RDDT, ROKU, CELH, MP"
SectorBal3_S10_P50,"SMR, QBTS, DAVE, RKLB, CRDO, AVAV, HSAI, OKLO, RDDT, ROKU"
IndustryBal_S10_P50,"SMR, QBTS, DAVE, RKLB, CRDO, AVAV, CIEN, HSAI, OKLO, ALAB"
Stability_S10_P50,"GNW, ALGM, IPGP, CIEN, NBIX, ELF, INCY, MHO, AMBA, RMBS"
PosMomentum_S10_P50,"CRDO, CIEN, HSAI, ALAB, RMBS, AMBA, AEIS, RDDT, NXT, ROKU"
TopRank_S15_P50,"SMR, QBTS, DAVE, RKLB, CRDO, AVAV, CIEN, HSAI, OKLO, ALAB, RMBS, AMBA, AEIS, MTSI, RDDT"
SectorBal2_S15_P50,"SMR, QBTS, DAVE, RKLB, HSAI, OKLO, RDDT, ROKU, CELH, MP, SSRM, NBIX, INCY, GNW, ELF"
SectorBal3_S15_P50,"SMR, QBTS, DAVE, RKLB, CRDO, AVAV, HSAI, OKLO, RDDT, ROKU, CELH, MP, SSRM, NBIS, NBIX"
IndustryBal_S15_P50,"SMR, QBTS, DAVE, RKLB, CRDO, AVAV, CIEN, HSAI, OKLO, ALAB, AMBA, AEIS, RDDT, NXT, TWLO"
Stability_S15_P50,"GNW, ALGM, IPGP, CIEN, NBIX, ELF, INCY, MHO, AMBA, RMBS, LITE, GTLB, VICR, URBN, DUOL"
PosMomentum_S15_P50,"CRDO, CIEN, HSAI, ALAB, RMBS, AMBA, AEIS, RDDT, NXT, ROKU, CELH, MP, SSRM, NBIS, MRCY"
HybridStability_S15_P50,"SMR, QBTS, DAVE, RKLB, CRDO, AVAV, HSAI, OKLO, RDDT, ROKU, CELH, MP, SSRM, NBIS, NBIX"
TopRank_S20_P50,"SMR, QBTS, DAVE, RKLB, CRDO, AVAV, CIEN, HSAI, OKLO, ALAB, RMBS, AMBA, AEIS, MTSI, RDDT, NXT, TWLO, ROKU, SLAB, CELH"
SectorBal3_S20_P50,"SMR, QBTS, DAVE, RKLB, CRDO, AVAV, HSAI, OKLO, RDDT, ROKU, CELH, MP, SSRM, NBIS, NBIX, INCY, DOCS, GNW, ELF, BOOT"
IndustryBal_S20_P50,"SMR, QBTS, DAVE, RKLB, CRDO, AVAV, CIEN, HSAI, OKLO, ALAB, AMBA, AEIS, RDDT, NXT, TWLO, ROKU, CELH, MP, SSRM, DUOL"
Stability_S20_P50,"GNW, ALGM, IPGP, CIEN, NBIX, ELF, INCY, MHO, AMBA, RMBS, LITE, GTLB, VICR, URBN, DUOL, BE, SSRM, RDDT, CELH, PLTR"
PosMomentum_S20_P50,"CRDO, CIEN, HSAI, ALAB, RMBS, AMBA, AEIS, RDDT, NXT, ROKU, CELH, MP, SSRM, NBIS, MRCY, NBIX, Z, ALGM, INCY, SOUN"
HybridStability_S20_P50,"SMR, QBTS, DAVE, RKLB, CRDO, AVAV, HSAI, OKLO, RDDT, ROKU, CELH, MP, SSRM, NBIS, NBIX, INCY, DOCS, GNW, ELF, BOOT"
TopRank_S10_P100,"SMR, QBTS, DAVE, RKLB, CRDO, AVAV, CIEN, HSAI, OKLO, ALAB"
SectorBal2_S10_P100,"SMR, QBTS, DAVE, RKLB, HSAI, OKLO, RDDT, ROKU, CELH, MP"
SectorBal3_S10_P100,"SMR, QBTS, DAVE, RKLB, CRDO, AVAV, HSAI, OKLO, RDDT, ROKU"
IndustryBal_S10_P100,"SMR, QBTS, DAVE, RKLB, CRDO, AVAV, CIEN, HSAI, OKLO, ALAB"
Stability_S10_P100,"NVST, GNW, ALGM, IPGP, CRUS, CIEN, CYBR, NBIX, QRVO, YELP"
PosMomentum_S10_P100,"CRDO, CIEN, HSAI, ALAB, RMBS, AMBA, AEIS, RDDT, NXT, ROKU"
Recommended_S10_P100,"CIEN, AMBA, NBIX, ALGM, GNW, IPGP, NVST, QRVO, CYBR, VEEV"
TopRank_S15_P100,"SMR, QBTS, DAVE, RKLB, CRDO, AVAV, CIEN, HSAI, OKLO, ALAB, RMBS, AMBA, AEIS, MTSI, RDDT"
SectorBal2_S15_P100,"SMR, QBTS, DAVE, RKLB, HSAI, OKLO, RDDT, ROKU, CELH, MP, SSRM, NBIX, INCY, GNW, ELF"
SectorBal3_S15_P100,"SMR, QBTS, DAVE, RKLB, CRDO, AVAV, HSAI, OKLO, RDDT, ROKU, CELH, MP, SSRM, NBIS, NBIX"
IndustryBal_S15_P100,"SMR, QBTS, DAVE, RKLB, CRDO, AVAV, CIEN, HSAI, OKLO, ALAB, AMBA, AEIS, RDDT, NXT, TWLO"
Stability_S15_P100,"NVST, GNW, ALGM, IPGP, CRUS, CIEN, CYBR, NBIX, QRVO, YELP, VEEV, ELF, INCY, SMTC, MDB"
PosMomentum_S15_P100,"CRDO, CIEN, HSAI, ALAB, RMBS, AMBA, AEIS, RDDT, NXT, ROKU, CELH, MP, SSRM, NBIS, MRCY"
HybridStability_S15_P100,"SMR, QBTS, DAVE, RKLB, CRDO, AVAV, HSAI, OKLO, RDDT, ROKU, CELH, MP, SSRM, NBIS, NBIX"
TopRank_S20_P100,"SMR, QBTS, DAVE, RKLB, CRDO, AVAV, CIEN, HSAI, OKLO, ALAB, RMBS, AMBA, AEIS, MTSI, RDDT, NXT, TWLO, ROKU, SLAB, CELH"
SectorBal3_S20_P100,"SMR, QBTS, DAVE, RKLB, CRDO, AVAV, HSAI, OKLO, RDDT, ROKU, CELH, MP, SSRM, NBIS, NBIX, INCY, DOCS, GNW, ELF, BOOT"
IndustryBal_S20_P100,"SMR, QBTS, DAVE, RKLB, CRDO, AVAV, CIEN, HSAI, OKLO, ALAB, AMBA, AEIS, RDDT, NXT, TWLO, ROKU, CELH, MP, SSRM, DUOL"
Stability_S20_P100,"NVST, GNW, ALGM, IPGP, CRUS, CIEN, CYBR, NBIX, QRVO, YELP, VEEV, ELF, INCY, SMTC, MDB, HQY, VIAV, FSLR, MHO, AMBA"
PosMomentum_S20_P100,"CRDO, CIEN, HSAI, ALAB, RMBS, AMBA, AEIS, RDDT, NXT, ROKU, CELH, MP, SSRM, NBIS, MRCY, NBIX, Z, ALGM, INCY, SOUN"
HybridStability_S20_P100,"SMR, QBTS, DAVE, RKLB, CRDO, AVAV, HSAI, OKLO, RDDT, ROKU, CELH, MP, SSRM, NBIS, NBIX, INCY, DOCS, GNW, ELF, BOOT"
TopRank_S10_P150,"SMR, QBTS, DAVE, RKLB, CRDO, AVAV, CIEN, HSAI, OKLO, ALAB"
SectorBal2_S10_P150,"SMR, QBTS, DAVE, RKLB, HSAI, OKLO, RDDT, ROKU, CELH, MP"
SectorBal3_S10_P150,"SMR, QBTS, DAVE, RKLB, CRDO, AVAV, HSAI, OKLO, RDDT, ROKU"
IndustryBal_S10_P150,"SMR, QBTS, DAVE, RKLB, CRDO, AVAV, CIEN, HSAI, OKLO, ALAB"
Stability_S10_P150,"NVST, GNW, TAL, ALGM, IOT, IPGP, PCTY, CRUS, GME, CIEN"
PosMomentum_S10_P150,"CRDO, CIEN, HSAI, ALAB, RMBS, AMBA, AEIS, RDDT, NXT, ROKU"
Recommended_S10_P150,"CIEN, AMBA, NBIX, ALGM, GNW, IPGP, NVST, QRVO, CYBR, VEEV"
TopRank_S15_P150,"SMR, QBTS, DAVE, RKLB, CRDO, AVAV, CIEN, HSAI, OKLO, ALAB, RMBS, AMBA, AEIS, MTSI, RDDT"
SectorBal2_S15_P150,"SMR, QBTS, DAVE, RKLB, HSAI, OKLO, RDDT, ROKU, CELH, MP, SSRM, NBIX, INCY, GNW, ELF"
SectorBal3_S15_P150,"SMR, QBTS, DAVE, RKLB, CRDO, AVAV, HSAI, OKLO, RDDT, ROKU, CELH, MP, SSRM, NBIS, NBIX"
IndustryBal_S15_P150,"SMR, QBTS, DAVE, RKLB, CRDO, AVAV, CIEN, HSAI, OKLO, ALAB, AMBA, AEIS, RDDT, NXT, TWLO"
Stability_S15_P150,"NVST, GNW, TAL, ALGM, IOT, IPGP, PCTY, CRUS, GME, CIEN, CYBR, NBIX, QRVO, YELP, VEEV"
PosMomentum_S15_P150,"CRDO, CIEN, HSAI, ALAB, RMBS, AMBA, AEIS, RDDT, NXT, ROKU, CELH, MP, SSRM, NBIS, MRCY"
Recommended_S15_P150,"CIEN, AMBA, NBIX, ALGM, GNW, IPGP, NVST, QRVO, CYBR, VEEV, CRUS, YELP, GME, TAL, PCTY"
HybridStability_S15_P150,"SMR, QBTS, DAVE, RKLB, CRDO, AVAV, HSAI, OKLO, RDDT, ROKU, CELH, MP, SSRM, NBIS, NBIX"
TopRank_S20_P150,"SMR, QBTS, DAVE, RKLB, CRDO, AVAV, CIEN, HSAI, OKLO, ALAB, RMBS, AMBA, AEIS, MTSI, RDDT, NXT, TWLO, ROKU, SLAB, CELH"
SectorBal3_S20_P150,"SMR, QBTS, DAVE, RKLB, CRDO, AVAV, HSAI, OKLO, RDDT, ROKU, CELH, MP, SSRM, NBIS, NBIX, INCY, DOCS, GNW, ELF, BOOT"
IndustryBal_S20_P150,"SMR, QBTS, DAVE, RKLB, CRDO, AVAV, CIEN, HSAI, OKLO, ALAB, AMBA, AEIS, RDDT, NXT, TWLO, ROKU, CELH, MP, SSRM, DUOL"
Stability_S20_P150,"NVST, GNW, TAL, ALGM, IOT, IPGP, PCTY, CRUS, GME, CIEN, CYBR, NBIX, QRVO, YELP, VEEV, ELF, PPBI, INCY, SMTC, MDB"
PosMomentum_S20_P150,"CRDO, CIEN, HSAI, ALAB, RMBS, AMBA, AEIS, RDDT, NXT, ROKU, CELH, MP, SSRM, NBIS, MRCY, NBIX, Z, ALGM, INCY, SOUN"
HybridStability_S20_P150,"SMR, QBTS, DAVE, RKLB, CRDO, AVAV, HSAI, OKLO, RDDT, ROKU, CELH, MP, SSRM, NBIS, NBIX, INCY, DOCS, GNW, ELF, BOOT"
