Factor,Pearson,p-value,Spearman,Significant,Error
momentum,0.4358191179170221,4.690674078040937e-17,0.427249520976083,Yes,
technical,0.06349683284120977,0.245036766450854,0.21283386268411172,Yes,
liquidity,0.06286052761510383,0.24980764422619486,0.1397456344012725,Yes,
financial_health,0.05371408441361459,0.3255554424453241,0.11445447866832259,Yes,
growth,0.1169283915224508,0.03188011248316903,0.06588275796234341,Yes,
insider,0.10048157090718438,0.0654154665140978,0.06428036441064934,No,
value,0.19728642969776738,0.00026830826673227795,0.05987361346221549,Yes,
size,0.054714517193579955,0.3166125042288741,0.03764760359200048,No,
options_flow,0.0643762624424852,0.23854832471997958,0.01099598858875462,No,
carry,-0.03127400410183788,0.5672398558143984,-0.04220139718798383,No,
quality,-0.12528709352514117,0.021420405255282635,-0.1609073098437987,Yes,
stability,-0.18878836478876412,0.0004936128850107786,-0.20730378472471422,Yes,
