ticker,appearances,avg_score,linear_slope,linear_r2,score_std,score_cv,trend_consistency,avg_rank,stability_score,r2_adjusted_score,slope_adjusted_score,stability_adjusted_score,recommendation
LUMN,7,64.91,-0.0171,0.97,0.03,0.001,1.0,19.43,79.04,62.94,61.59,59.52,BUY - Stable quality
MP,7,73.12,-0.1064,0.852,0.23,0.003,0.67,3.0,68.57,62.29,54.19,44.03,BUY - Stable quality
RDDT,7,68.93,-0.1032,0.832,0.23,0.003,0.67,8.29,67.98,57.38,50.14,40.89,BUY - Stable quality
CLS,7,67.12,-0.0607,0.74,0.14,0.002,0.67,11.29,65.32,49.67,45.92,40.24,BUY - Stable quality
FIVE,7,59.34,0.3186,0.853,0.69,0.012,0.67,47.29,87.76,50.62,67.37,39.87,HOLD - Modest potential
LITE,7,61.68,0.3507,0.807,0.78,0.013,0.67,34.71,86.27,49.76,67.29,37.78,HOLD - Modest potential
YPF,7,58.2,0.5525,0.931,1.15,0.02,0.67,62.29,89.28,54.16,78.03,36.37,HOLD - Modest potential
ZD,7,48.82,0.2268,0.867,0.49,0.01,0.5,239.71,85.01,42.33,53.19,35.77,HOLD - Modest potential
ALGM,7,54.83,0.5411,0.954,1.11,0.02,0.67,101.43,89.92,52.28,75.14,35.64,HOLD - Modest potential
ULTA,7,51.24,0.4668,0.949,0.96,0.019,0.67,169.57,89.93,48.61,68.62,35.04,HOLD - Modest potential
CCJ,7,59.87,0.3432,0.764,0.79,0.013,0.33,43.86,78.27,45.73,61.62,34.51,HOLD - Modest potential
Z,7,59.29,0.2771,0.733,0.65,0.011,0.33,48.71,77.57,43.48,56.52,34.31,HOLD - Modest potential
NU,7,45.75,0.1704,0.852,0.37,0.008,0.67,345.0,88.07,38.96,46.79,34.17,HOLD - Modest potential
MTCH,7,48.09,0.26,0.861,0.56,0.012,0.33,267.0,81.32,41.38,53.21,34.1,HOLD - Modest potential
DECK,7,46.7,0.2757,0.874,0.59,0.013,0.67,309.71,88.28,40.8,52.99,33.33,HOLD - Modest potential
HOOD,7,50.44,-0.0979,0.902,0.21,0.004,0.67,184.86,69.98,45.49,40.04,33.19,WATCH - Monitor for opportunity
DLTR,7,36.5,0.1536,0.96,0.31,0.009,0.67,682.29,91.29,35.06,41.48,31.58,HOLD - Modest potential
TRMB,7,47.77,0.2543,0.807,0.57,0.012,0.33,276.86,79.69,38.55,49.38,31.53,HOLD - Modest potential
PINS,7,47.08,0.43,0.911,0.9,0.019,0.67,299.0,88.74,42.87,59.83,31.47,HOLD - Modest potential
PDD,7,38.39,0.2164,0.943,0.45,0.012,0.67,619.14,90.46,36.19,45.13,31.21,HOLD - Modest potential
GFS,7,48.15,0.0768,0.697,0.18,0.004,0.67,267.14,83.86,33.56,36.74,31.03,HOLD - Modest potential
EPAM,7,48.27,0.1139,0.706,0.27,0.006,0.0,261.86,70.61,34.06,38.79,30.51,HOLD - Modest potential
