ticker,appearances,avg_score,linear_slope,linear_r2,score_std,score_cv,trend_consistency,avg_rank,stability_score,r2_adjusted_score,slope_adjusted_score,stability_adjusted_score,recommendation
MP,22,72.61,-0.057,0.817,0.4,0.005,0.33,3.0,60.63,59.33,55.14,39.42,BUY - High score acceptable risk
PLTR,22,58.36,0.063,0.817,0.44,0.008,0.1,59.0,75.66,47.68,51.39,35.65,HOLD - Stable but flat
INMD,22,53.89,0.115,0.895,0.77,0.014,0.0,116.77,75.42,48.23,54.96,31.07,HOLD - Modest potential
SSRM,22,75.44,-0.049,0.606,0.4,0.005,0.43,1.91,56.23,45.73,42.96,30.74,WATCH - Monitor for opportunity
URBN,22,60.21,0.188,0.817,1.32,0.022,0.24,44.0,77.07,49.17,59.93,25.86,WATCH - Monitor for opportunity
RKLB,22,67.26,0.236,0.806,1.67,0.025,0.33,10.73,78.37,54.23,68.61,25.7,WATCH - Monitor for opportunity
LITE,22,63.34,0.187,0.776,1.35,0.021,0.19,25.91,74.97,49.18,59.93,25.5,WATCH - Monitor for opportunity
IPGP,22,50.65,0.211,0.937,1.38,0.027,0.33,188.77,82.06,47.48,58.95,24.76,AVOID - Poor risk-adjusted score
YELP,22,50.08,0.135,0.822,0.94,0.019,0.14,202.05,75.62,41.14,47.81,24.62,AVOID - Poor risk-adjusted score
MHO,22,54.64,0.145,0.768,1.05,0.019,0.33,103.5,77.8,41.99,49.27,24.07,AVOID - Poor risk-adjusted score
MSTR,22,46.82,0.115,0.812,0.81,0.017,0.1,310.32,74.55,38.03,43.33,23.99,AVOID - Poor risk-adjusted score
HUBG,22,46.18,0.127,0.804,0.9,0.019,0.14,334.59,75.03,37.13,42.82,22.57,AVOID - Poor risk-adjusted score
MTZ,22,52.11,0.151,0.763,1.1,0.021,0.14,152.32,73.63,39.75,46.93,22.35,AVOID - Poor risk-adjusted score
ALRM,22,43.97,0.084,0.744,0.62,0.014,0.24,409.45,75.66,32.69,36.08,22.29,AVOID - Poor risk-adjusted score
AFRM,22,59.94,-0.132,0.833,0.91,0.015,0.33,44.14,60.12,49.92,41.99,21.94,AVOID - Poor risk-adjusted score
GNW,22,59.61,0.107,0.586,0.88,0.015,0.14,47.14,68.96,34.95,39.5,20.97,AVOID - Poor risk-adjusted score
NBIX,22,49.15,0.116,0.698,0.88,0.018,0.05,231.82,70.11,34.32,39.18,20.8,AVOID - Poor risk-adjusted score
KGC,22,65.67,0.148,0.588,1.23,0.019,0.33,16.14,72.45,38.64,45.49,20.44,AVOID - Poor risk-adjusted score
AEIS,22,58.05,0.185,0.696,1.41,0.024,0.19,63.32,72.26,40.4,49.14,20.4,AVOID - Poor risk-adjusted score
