ticker,appearances,avg_score,linear_slope,linear_r2,score_std,score_cv,trend_consistency,avg_rank,stability_score,r2_adjusted_score,slope_adjusted_score,stability_adjusted_score,recommendation
SSRM,25,75.37,-0.049,0.697,0.43,0.006,0.5,1.92,60.36,52.57,49.35,34.62,WATCH - Monitor for opportunity
INMD,25,54.01,0.104,0.889,0.8,0.015,0.04,116.36,76.04,48.04,54.16,30.16,HOLD - Modest potential
PLTR,25,58.58,0.091,0.784,0.74,0.013,0.21,57.6,76.42,45.92,51.04,29.36,WATCH - Monitor for opportunity
RKLB,25,67.67,0.249,0.866,1.93,0.029,0.33,10.04,79.79,58.61,74.83,25.52,WATCH - Monitor for opportunity
URBN,25,60.54,0.198,0.852,1.55,0.026,0.25,42.48,78.02,51.6,63.41,24.92,AVOID - Poor risk-adjusted score
LITE,25,63.51,0.164,0.769,1.35,0.021,0.12,25.12,73.44,48.84,58.32,24.83,AVOID - Poor risk-adjusted score
MSTR,25,47.0,0.116,0.866,0.9,0.019,0.12,304.48,76.55,40.68,46.43,24.43,AVOID - Poor risk-adjusted score
YELP,25,50.19,0.116,0.796,0.94,0.019,0.17,199.88,75.34,39.93,45.56,23.52,AVOID - Poor risk-adjusted score
ALRM,25,44.13,0.091,0.807,0.73,0.017,0.17,403.32,75.89,35.61,39.6,22.87,AVOID - Poor risk-adjusted score
KGC,25,65.92,0.156,0.662,1.38,0.021,0.33,15.4,74.42,43.61,51.68,21.72,AVOID - Poor risk-adjusted score
GNW,25,59.72,0.096,0.613,0.89,0.015,0.08,47.08,68.58,36.62,40.94,21.7,AVOID - Poor risk-adjusted score
MTZ,25,52.24,0.131,0.745,1.09,0.021,0.17,151.04,73.58,38.9,45.03,21.53,AVOID - Poor risk-adjusted score
IPGP,25,50.76,0.166,0.809,1.33,0.026,0.25,186.44,76.65,41.07,49.14,21.08,AVOID - Poor risk-adjusted score
AXTA,25,44.01,0.061,0.675,0.54,0.012,0.04,408.28,69.87,29.72,31.98,20.8,AVOID - Poor risk-adjusted score
MP,25,72.63,-0.034,0.41,0.38,0.005,0.25,3.0,46.79,29.81,28.55,20.67,AVOID - Poor risk-adjusted score
HUBG,25,46.26,0.104,0.732,0.88,0.019,0.17,331.56,73.4,33.87,38.18,20.34,AVOID - Poor risk-adjusted score
AEIS,25,58.23,0.163,0.7,1.41,0.024,0.21,62.04,72.74,40.73,48.6,20.2,AVOID - Poor risk-adjusted score
WYNN,25,45.0,0.129,0.787,1.05,0.023,0.17,375.32,74.59,35.4,40.93,19.95,AVOID - Poor risk-adjusted score
FHI,25,55.13,0.131,0.665,1.16,0.021,0.17,97.84,71.18,36.65,42.44,19.67,AVOID - Poor risk-adjusted score
TAL,25,61.59,0.202,0.707,1.73,0.028,0.17,34.56,71.73,43.54,53.69,19.65,AVOID - Poor risk-adjusted score
EEFT,25,48.01,-0.094,0.809,0.76,0.016,0.08,270.24,54.36,38.84,34.34,19.55,AVOID - Poor risk-adjusted score
AFRM,25,59.89,-0.101,0.696,0.87,0.015,0.25,45.2,54.42,41.68,36.52,19.49,AVOID - Poor risk-adjusted score
ONON,25,59.82,-0.158,0.869,1.22,0.02,0.0,47.96,54.01,51.95,42.2,18.99,AVOID - Poor risk-adjusted score
ATHM,25,53.99,0.15,0.674,1.32,0.024,0.17,117.32,71.12,36.41,42.95,18.51,AVOID - Poor risk-adjusted score
JNPR,25,48.79,-0.059,0.627,0.54,0.011,0.12,242.44,50.2,30.59,28.33,18.38,AVOID - Poor risk-adjusted score
APP,25,49.96,0.19,0.767,1.56,0.031,0.04,211.0,70.71,38.31,46.77,18.26,AVOID - Poor risk-adjusted score
BWA,25,48.47,0.221,0.828,1.75,0.036,0.25,255.88,76.23,40.14,50.24,18.24,AVOID - Poor risk-adjusted score
ANSS,25,50.85,-0.067,0.626,0.61,0.012,0.12,180.44,50.09,31.84,29.21,18.18,AVOID - Poor risk-adjusted score
AAL,25,50.48,0.188,0.75,1.57,0.031,0.0,196.84,69.4,37.88,46.19,17.99,AVOID - Poor risk-adjusted score
ATGE,25,55.56,0.199,0.71,1.7,0.031,0.25,92.6,73.24,39.46,48.54,17.96,AVOID - Poor risk-adjusted score
CCJ,25,63.09,0.299,0.751,2.49,0.039,0.25,26.92,73.59,47.39,62.41,17.9,AVOID - Poor risk-adjusted score
BURL,25,37.7,-0.079,0.842,0.62,0.016,0.08,634.56,55.3,31.75,28.67,17.73,AVOID - Poor risk-adjusted score
MHO,25,54.68,0.105,0.573,1.0,0.018,0.17,104.64,68.68,31.31,35.34,17.64,AVOID - Poor risk-adjusted score
MNSO,25,56.69,0.237,0.729,2.0,0.035,0.25,80.52,73.33,41.31,52.29,17.42,AVOID - Poor risk-adjusted score
CHRW,25,40.78,0.139,0.778,1.14,0.028,0.25,522.64,75.54,31.71,37.01,17.31,AVOID - Poor risk-adjusted score
NBIX,25,49.19,0.089,0.581,0.84,0.017,0.08,231.6,67.4,28.6,31.71,17.26,AVOID - Poor risk-adjusted score
ALK,25,53.12,0.187,0.693,1.62,0.03,0.21,135.24,71.91,36.81,44.83,17.12,AVOID - Poor risk-adjusted score
CSGP,25,46.86,0.042,0.493,0.43,0.009,0.08,308.8,45.54,23.11,24.31,17.0,AVOID - Poor risk-adjusted score
SKYW,25,51.48,0.15,0.654,1.34,0.026,0.04,169.0,67.86,33.69,39.75,16.97,AVOID - Poor risk-adjusted score
MBLY,25,49.75,0.143,0.659,1.27,0.026,0.33,216.4,73.87,32.76,38.38,16.91,AVOID - Poor risk-adjusted score
INCY,25,53.52,0.335,0.848,2.63,0.049,0.33,130.44,77.19,45.36,60.88,16.79,AVOID - Poor risk-adjusted score
TLN,25,55.67,0.151,0.605,1.4,0.025,0.21,90.28,69.82,33.7,39.76,16.6,AVOID - Poor risk-adjusted score
QLYS,25,48.24,0.057,0.504,0.58,0.012,0.08,262.0,65.58,24.3,26.01,16.49,AVOID - Poor risk-adjusted score
MFC,25,47.26,0.193,0.742,1.61,0.034,0.08,295.72,70.5,35.05,42.89,16.42,AVOID - Poor risk-adjusted score
DXC,25,39.16,-0.088,0.801,0.71,0.018,0.08,577.36,53.89,31.38,27.97,16.36,AVOID - Poor risk-adjusted score
ACLS,25,47.34,0.254,0.817,2.03,0.043,0.08,295.52,71.89,38.67,49.54,16.35,AVOID - Poor risk-adjusted score
EDU,25,48.12,-0.099,0.708,0.85,0.018,0.0,266.64,49.47,34.05,29.93,16.2,AVOID - Poor risk-adjusted score
SNV,25,60.77,0.239,0.656,2.13,0.035,0.42,42.84,74.51,39.85,50.52,16.15,AVOID - Poor risk-adjusted score
BIO,25,52.25,0.071,0.491,0.73,0.014,0.29,150.12,49.16,25.64,27.89,16.12,AVOID - Poor risk-adjusted score
QDEL,25,41.78,-0.105,0.813,0.84,0.02,0.17,488.32,55.71,33.96,29.6,16.09,AVOID - Poor risk-adjusted score
NTR,25,46.26,0.069,0.533,0.68,0.015,0.25,329.88,69.52,24.66,26.77,15.93,AVOID - Poor risk-adjusted score
IDCC,25,60.53,0.162,0.562,1.55,0.026,0.25,41.36,69.29,34.02,40.54,15.87,AVOID - Poor risk-adjusted score
BNTX,25,57.93,0.155,0.571,1.48,0.026,0.25,65.52,69.57,33.07,39.18,15.79,AVOID - Poor risk-adjusted score
HLF,25,49.31,0.228,0.739,1.92,0.039,0.08,231.96,69.96,36.46,45.87,15.73,AVOID - Poor risk-adjusted score
MLCO,25,57.31,0.112,0.512,1.13,0.02,0.17,71.48,66.74,29.37,33.38,15.69,AVOID - Poor risk-adjusted score
ETSY,25,49.91,0.353,0.855,2.75,0.055,0.17,219.88,73.48,42.69,57.8,15.41,AVOID - Poor risk-adjusted score
RIVN,25,47.28,0.272,0.803,2.19,0.046,0.12,298.96,71.95,37.95,49.18,15.41,AVOID - Poor risk-adjusted score
FSS,25,53.66,0.25,0.706,2.14,0.04,0.0,124.92,67.19,37.89,48.4,15.39,AVOID - Poor risk-adjusted score
GNTX,25,47.59,0.28,0.798,2.26,0.048,0.0,289.12,69.2,38.0,49.49,15.17,AVOID - Poor risk-adjusted score
PATH,25,49.86,-0.065,0.539,0.64,0.013,0.08,207.44,46.55,26.85,24.7,15.1,AVOID - Poor risk-adjusted score
ENSG,25,41.52,0.116,0.645,1.04,0.025,0.25,495.28,71.85,26.79,30.57,14.98,AVOID - Poor risk-adjusted score
SMFG,25,41.06,0.127,0.67,1.12,0.027,0.0,512.04,67.37,27.5,31.72,14.98,AVOID - Poor risk-adjusted score
ZD,25,51.25,0.25,0.716,2.13,0.042,0.0,178.68,67.31,36.68,46.86,14.95,AVOID - Poor risk-adjusted score
CGNX,25,52.31,0.328,0.778,2.68,0.051,0.17,158.0,71.55,40.69,54.42,14.79,AVOID - Poor risk-adjusted score
VEEV,25,51.75,-0.086,0.578,0.81,0.016,0.08,160.04,47.44,29.93,26.77,14.75,AVOID - Poor risk-adjusted score
