ticker,appearances,avg_score,linear_slope,linear_r2,score_std,score_cv,trend_consistency,avg_rank,stability_score,r2_adjusted_score,slope_adjusted_score,stability_adjusted_score,recommendation
LUMN,5,64.92,-0.02,0.971,0.03,0.0,1.0,19.6,79.08,63.03,61.46,59.74,BUY - Stable quality
FUTU,5,70.81,-0.092,0.814,0.14,0.002,1.0,5.8,74.23,57.67,51.15,44.71,BUY - Stable quality
CCJ,5,59.47,0.319,0.811,0.5,0.008,0.5,46.4,83.49,48.24,64.23,42.79,HOLD - Modest potential
AXON,5,59.69,0.39,0.824,0.61,0.01,0.5,44.8,83.7,49.19,67.65,42.08,HOLD - Modest potential
PAAS,5,64.04,0.341,0.755,0.56,0.009,0.5,24.4,81.77,48.32,65.05,41.83,BUY - Stable quality
SOFI,5,64.13,-0.107,0.87,0.16,0.003,0.75,24.4,70.85,55.79,48.5,41.73,BUY - Stable quality
ALGM,5,54.24,0.447,0.899,0.67,0.012,0.5,108.4,85.74,48.75,68.42,41.05,HOLD - Modest potential
MP,5,73.22,-0.126,0.764,0.2,0.003,0.5,3.0,62.63,55.92,47.39,39.36,BUY - High score acceptable risk
Z,5,59.1,0.422,0.796,0.67,0.011,0.0,50.4,72.76,47.06,65.5,39.25,HOLD - Modest potential
YPF,5,57.61,0.459,0.826,0.71,0.012,0.5,69.0,83.54,47.58,67.02,39.1,HOLD - Modest potential
TWLO,5,65.89,-0.049,0.684,0.08,0.001,0.25,15.6,55.38,45.04,42.3,39.03,HOLD - Stable but flat
MTCH,5,47.83,0.302,0.894,0.45,0.009,0.5,274.0,85.87,42.76,56.4,38.85,HOLD - Modest potential
CNM,5,44.3,0.184,0.916,0.27,0.006,1.0,402.6,96.88,40.59,49.32,38.78,HOLD - Modest potential
ZD,5,48.63,0.293,0.865,0.45,0.009,0.5,246.0,85.03,42.06,55.19,38.18,HOLD - Modest potential
EEFT,5,48.88,0.242,0.842,0.37,0.008,0.5,234.0,84.5,41.17,52.3,38.1,HOLD - Modest potential
LU,5,57.27,0.836,0.98,1.19,0.021,1.0,72.0,97.31,56.12,83.33,37.98,HOLD - Modest potential
ULTA,5,50.81,0.546,0.928,0.8,0.016,1.0,177.6,96.26,47.16,67.85,37.66,HOLD - Modest potential
NVST,5,58.19,0.273,0.724,0.45,0.008,0.5,60.0,80.94,42.12,54.61,37.57,HOLD - Modest potential
APP,5,48.49,0.04,0.774,0.06,0.001,0.5,250.4,83.08,37.52,39.39,37.01,HOLD - Stable but flat
RBLX,5,48.22,-0.01,0.781,0.02,0.0,0.5,262.8,63.4,37.67,37.2,36.62,HOLD - Stable but flat
SQM,5,49.16,0.492,0.906,0.73,0.015,1.0,226.4,95.7,44.54,63.31,36.57,HOLD - Modest potential
WYNN,5,43.58,0.287,0.883,0.43,0.01,0.5,432.6,85.49,38.47,50.31,35.13,HOLD - Modest potential
PLTR,5,57.94,-0.061,0.712,0.1,0.002,0.75,64.0,66.18,41.24,38.12,34.58,WATCH - Monitor for opportunity
DLTR,5,36.36,0.16,0.963,0.23,0.006,1.0,684.4,98.25,35.01,41.66,33.85,HOLD - Modest potential
EPAM,5,48.18,0.17,0.739,0.28,0.006,0.0,262.6,71.6,35.62,42.77,33.42,HOLD - Modest potential
RDDT,5,69.04,-0.089,0.628,0.16,0.002,0.5,8.6,58.6,43.33,38.59,33.3,WATCH - Monitor for opportunity
FIZZ,5,53.87,-0.079,0.767,0.13,0.002,0.25,115.8,57.76,41.3,37.28,33.06,WATCH - Monitor for opportunity
GOOS,5,57.99,0.815,0.855,1.25,0.021,0.5,63.8,83.5,49.58,73.54,32.73,HOLD - Modest potential
FIVE,5,59.0,0.278,0.636,0.49,0.008,0.5,50.4,78.26,37.55,48.84,32.72,HOLD - Modest potential
BEKE,5,56.12,0.488,0.722,0.81,0.014,0.5,85.8,80.21,40.51,57.52,31.74,HOLD - Modest potential
PDD,5,38.18,0.216,0.871,0.33,0.009,1.0,625.2,95.28,33.26,41.46,31.24,HOLD - Modest potential
HALO,5,50.14,-0.155,0.921,0.23,0.005,1.0,193.8,77.17,46.17,37.65,30.65,WATCH - Monitor for opportunity
YELP,5,49.0,0.108,0.653,0.19,0.004,0.0,230.2,69.2,31.99,36.2,30.45,HOLD - Modest potential
PINS,5,46.6,0.349,0.75,0.57,0.012,0.5,312.0,81.28,34.95,47.23,30.08,HOLD - Modest potential
TW,5,48.39,0.186,0.668,0.32,0.007,0.5,254.8,79.38,32.33,39.35,29.77,WATCH - Monitor for opportunity
UPST,5,66.37,-0.264,0.877,0.4,0.006,0.5,13.6,65.71,58.21,41.38,29.58,WATCH - Monitor for opportunity
HOOD,5,50.54,-0.094,0.755,0.15,0.003,0.5,182.2,62.34,38.14,33.74,29.26,WATCH - Monitor for opportunity
CLS,5,67.18,-0.058,0.518,0.11,0.002,0.5,11.6,55.39,34.83,32.32,29.02,WATCH - Monitor for opportunity
ALB,5,48.0,0.319,0.697,0.54,0.011,0.5,265.8,79.77,33.44,44.52,28.9,WATCH - Monitor for opportunity
AGI,5,59.92,0.341,0.581,0.63,0.011,0.5,42.6,76.37,34.81,46.86,28.7,WATCH - Monitor for opportunity
ROKU,5,59.41,0.389,0.595,0.71,0.012,0.0,47.2,66.66,35.38,48.64,28.4,WATCH - Monitor for opportunity
DECK,5,46.38,0.182,0.66,0.32,0.007,0.5,318.4,79.12,30.61,37.12,28.19,WATCH - Monitor for opportunity
NBIX,5,47.98,-0.191,0.952,0.28,0.006,1.0,269.6,77.98,45.68,35.53,27.83,WATCH - Monitor for opportunity
DB,5,53.53,0.302,0.609,0.55,0.01,0.0,122.6,67.26,32.61,43.02,27.8,WATCH - Monitor for opportunity
KGC,5,64.66,0.305,0.513,0.6,0.009,0.5,20.6,74.47,33.19,43.86,27.38,WATCH - Monitor for opportunity
NMR,5,43.87,0.523,0.796,0.83,0.019,0.5,420.6,82.01,34.94,50.03,27.36,WATCH - Monitor for opportunity
NU,5,45.57,0.157,0.645,0.28,0.006,0.5,350.2,78.74,29.39,34.88,27.32,WATCH - Monitor for opportunity
EXPE,5,46.81,0.666,0.808,1.05,0.022,0.5,308.4,82.0,37.82,55.42,27.06,WATCH - Monitor for opportunity
AKAM,5,38.91,-0.098,0.904,0.15,0.004,0.5,598.8,66.73,35.16,30.94,27.0,WATCH - Monitor for opportunity
HAIN,5,41.82,0.387,0.758,0.63,0.015,0.5,494.0,81.23,31.68,43.53,26.72,WATCH - Monitor for opportunity
ZTO,5,47.77,0.763,0.826,1.19,0.025,0.5,273.6,82.29,39.45,58.32,26.66,WATCH - Monitor for opportunity
FTI,5,51.16,0.612,0.72,1.02,0.02,0.5,168.8,79.62,36.86,53.64,26.56,WATCH - Monitor for opportunity
CAR,5,57.48,0.525,0.624,0.94,0.016,0.0,70.6,67.09,35.87,51.38,26.49,WATCH - Monitor for opportunity
LITE,5,61.29,0.277,0.513,0.55,0.009,0.5,36.2,74.5,31.46,40.89,26.43,WATCH - Monitor for opportunity
WBD,5,50.95,0.619,0.723,1.03,0.02,0.5,174.8,79.66,36.82,53.63,26.42,WATCH - Monitor for opportunity
BKNG,5,37.62,0.336,0.799,0.53,0.014,0.5,644.8,82.56,30.06,40.36,26.35,WATCH - Monitor for opportunity
PYPL,5,38.41,0.331,0.782,0.53,0.014,0.0,616.8,72.09,30.04,40.25,26.32,WATCH - Monitor for opportunity
QLYS,5,48.04,-0.199,0.912,0.29,0.006,0.5,268.2,66.74,43.81,33.73,26.05,WATCH - Monitor for opportunity
AXTA,5,43.65,-0.067,0.718,0.11,0.003,0.5,427.4,61.3,31.36,28.76,25.87,WATCH - Monitor for opportunity
BAP,5,53.33,0.412,0.604,0.75,0.014,0.5,125.2,76.72,32.21,44.68,25.53,WATCH - Monitor for opportunity
UBS,5,41.7,0.378,0.726,0.63,0.015,0.5,495.8,80.28,30.29,41.45,25.47,WATCH - Monitor for opportunity
DT,5,49.12,0.028,0.527,0.05,0.001,0.5,224.8,75.7,25.88,26.79,25.4,WATCH - Monitor for opportunity
META,5,45.59,0.317,0.647,0.56,0.012,0.5,349.0,78.18,29.49,39.22,25.18,WATCH - Monitor for opportunity
ETSY,5,46.88,0.319,0.631,0.57,0.012,0.5,303.2,77.73,29.6,39.4,25.13,WATCH - Monitor for opportunity
CDNS,5,40.16,0.583,0.819,0.91,0.023,0.5,547.8,82.31,32.91,47.67,24.95,AVOID - Poor risk-adjusted score
HGV,5,46.13,0.632,0.752,1.03,0.022,0.5,329.8,80.32,34.68,50.62,24.92,AVOID - Poor risk-adjusted score
PTON,5,62.44,0.514,0.552,0.98,0.016,0.0,31.2,64.99,34.45,49.23,24.88,AVOID - Poor risk-adjusted score
PCTY,5,51.79,-0.235,0.883,0.35,0.007,0.5,156.2,65.81,45.73,33.66,24.86,AVOID - Poor risk-adjusted score
AFRM,5,61.01,0.042,0.422,0.09,0.001,0.5,36.4,52.51,25.75,27.09,24.82,AVOID - Poor risk-adjusted score
RH,5,45.46,0.439,0.682,0.75,0.017,0.5,352.2,78.8,31.0,43.39,24.77,AVOID - Poor risk-adjusted score
CELH,5,49.66,0.356,0.6,0.65,0.013,0.5,210.0,76.69,29.79,40.38,24.47,AVOID - Poor risk-adjusted score
U,5,65.92,-0.307,0.802,0.48,0.007,0.0,15.4,53.32,52.86,35.8,24.11,REDUCE - Weakening position
COO,5,47.33,-0.119,0.712,0.2,0.004,0.0,289.0,50.94,33.7,28.83,24.03,AVOID - Poor risk-adjusted score
BNTX,5,56.77,0.117,0.458,0.24,0.004,0.5,79.0,53.32,26.02,29.72,23.88,AVOID - Poor risk-adjusted score
VLO,5,40.09,0.672,0.827,1.04,0.026,1.0,552.4,92.21,33.17,48.64,23.79,AVOID - Poor risk-adjusted score
CPNG,5,46.08,-0.167,0.801,0.26,0.006,0.5,330.0,63.47,36.93,29.64,23.45,AVOID - Poor risk-adjusted score
MNDY,5,59.11,-0.297,0.842,0.46,0.008,1.0,49.8,74.48,49.77,34.08,23.38,AVOID - Poor risk-adjusted score
ASX,5,43.67,-0.203,0.908,0.3,0.007,1.0,425.8,76.55,39.66,30.38,23.34,AVOID - Poor risk-adjusted score
RCL,5,38.91,0.405,0.723,0.67,0.017,0.0,598.8,69.97,28.15,38.94,23.27,AVOID - Poor risk-adjusted score
WU,5,35.7,0.312,0.733,0.52,0.014,0.0,704.6,70.54,26.16,34.69,22.89,AVOID - Poor risk-adjusted score
R,5,39.69,0.465,0.721,0.77,0.02,0.0,567.2,69.67,28.61,40.37,22.75,AVOID - Poor risk-adjusted score
INMD,5,53.04,0.11,0.461,0.23,0.004,0.5,134.6,53.41,24.47,27.75,22.58,AVOID - Poor risk-adjusted score
NIO,5,53.13,0.795,0.674,1.37,0.026,0.0,130.2,67.65,35.82,53.08,22.4,AVOID - Poor risk-adjusted score
SNPS,5,34.83,0.383,0.757,0.62,0.018,0.5,728.6,80.93,26.37,36.18,22.3,AVOID - Poor risk-adjusted score
HL,5,51.18,0.327,0.532,0.63,0.012,0.5,166.2,74.72,27.23,36.4,22.28,AVOID - Poor risk-adjusted score
EXTR,5,52.13,-0.184,0.712,0.31,0.006,0.25,150.0,55.77,37.11,29.13,22.27,AVOID - Poor risk-adjusted score
GM,5,33.73,0.538,0.84,0.83,0.025,0.5,757.4,82.75,28.35,40.72,22.25,AVOID - Poor risk-adjusted score
CROX,5,39.26,0.167,0.611,0.3,0.008,0.5,584.8,77.57,24.0,28.73,22.07,AVOID - Poor risk-adjusted score
