ticker,appearances,avg_score,linear_slope,linear_r2,score_std,score_cv,trend_consistency,avg_rank,stability_score,r2_adjusted_score,slope_adjusted_score,stability_adjusted_score,recommendation
MP,21,72.63,-0.06,0.826,0.4,0.005,0.4,3.0,62.23,59.98,55.52,39.68,BUY - High score acceptable risk
PLTR,21,58.33,0.063,0.794,0.43,0.007,0.05,59.48,74.1,46.33,49.94,35.01,HOLD - Stable but flat
INMD,21,53.84,0.117,0.886,0.75,0.014,0.05,117.33,76.19,47.71,54.47,31.13,HOLD - Modest potential
SSRM,21,75.47,-0.048,0.564,0.39,0.005,0.4,1.9,54.41,42.58,40.04,28.89,WATCH - Monitor for opportunity
URBN,21,60.13,0.19,0.799,1.29,0.021,0.2,44.33,75.84,48.06,58.68,25.66,WATCH - Monitor for opportunity
RKLB,21,67.16,0.242,0.794,1.64,0.024,0.4,10.95,79.37,53.31,67.71,25.62,WATCH - Monitor for opportunity
IPGP,21,50.56,0.215,0.934,1.35,0.027,0.3,190.76,81.36,47.24,58.86,25.06,WATCH - Monitor for opportunity
YELP,21,50.04,0.142,0.831,0.94,0.019,0.2,203.19,77.05,41.58,48.66,25.05,WATCH - Monitor for opportunity
LITE,21,63.25,0.186,0.749,1.3,0.021,0.15,26.33,73.41,47.36,57.66,25.03,WATCH - Monitor for opportunity
MHO,21,54.59,0.15,0.763,1.04,0.019,0.4,103.9,78.98,41.65,49.12,24.07,AVOID - Poor risk-adjusted score
MSTR,21,46.77,0.116,0.794,0.79,0.017,0.1,312.33,74.15,37.16,42.39,23.72,AVOID - Poor risk-adjusted score
HUBG,21,46.14,0.134,0.813,0.9,0.019,0.2,336.14,76.43,37.49,43.55,22.92,AVOID - Poor risk-adjusted score
MTZ,21,52.06,0.159,0.764,1.1,0.021,0.1,153.1,72.8,39.76,47.25,22.51,AVOID - Poor risk-adjusted score
ALRM,21,43.9,0.076,0.718,0.54,0.012,0.2,412.33,74.3,31.51,34.45,22.37,AVOID - Poor risk-adjusted score
ENOV,21,45.88,0.071,0.681,0.52,0.011,0.2,344.38,73.3,31.25,33.98,22.36,AVOID - Poor risk-adjusted score
GNW,21,59.59,0.117,0.616,0.9,0.015,0.2,47.19,70.97,36.71,41.92,22.06,AVOID - Poor risk-adjusted score
AFRM,21,60.0,-0.136,0.827,0.9,0.015,0.3,43.76,59.3,49.61,41.5,21.8,AVOID - Poor risk-adjusted score
CLS,21,66.95,-0.023,0.408,0.22,0.003,0.3,10.62,47.9,27.29,26.5,21.76,AVOID - Poor risk-adjusted score
NBIX,21,49.12,0.125,0.714,0.89,0.018,0.1,232.81,71.59,35.05,40.34,21.31,AVOID - Poor risk-adjusted score
AEIS,21,58.01,0.2,0.721,1.43,0.025,0.15,63.9,72.16,41.82,51.5,21.2,AVOID - Poor risk-adjusted score
JNPR,21,48.85,-0.083,0.752,0.58,0.012,0.2,240.24,55.39,36.75,33.02,20.95,AVOID - Poor risk-adjusted score
RIVN,21,46.66,0.256,0.917,1.62,0.035,0.05,316.86,75.04,42.78,54.87,20.94,AVOID - Poor risk-adjusted score
AMBA,21,61.49,0.244,0.73,1.73,0.028,0.1,35.0,71.08,44.88,57.09,20.92,AVOID - Poor risk-adjusted score
DLTR,21,37.35,0.112,0.818,0.75,0.02,0.1,645.95,74.52,30.53,34.69,19.84,AVOID - Poor risk-adjusted score
GWRE,21,56.16,-0.16,0.876,1.04,0.018,0.2,83.95,58.42,49.17,39.81,19.54,AVOID - Poor risk-adjusted score
KGC,21,65.6,0.149,0.557,1.21,0.018,0.3,16.43,70.85,36.51,43.0,19.47,AVOID - Poor risk-adjusted score
MBLY,21,49.59,0.186,0.739,1.31,0.026,0.2,220.81,73.51,36.62,44.58,19.29,AVOID - Poor risk-adjusted score
VEEV,21,51.79,-0.131,0.822,0.88,0.017,0.0,158.43,52.97,42.58,35.84,19.11,AVOID - Poor risk-adjusted score
AXTA,21,43.89,0.065,0.603,0.5,0.011,0.05,413.14,67.93,26.45,28.57,19.0,AVOID - Poor risk-adjusted score
WYNN,21,44.71,0.117,0.687,0.85,0.019,0.1,385.67,70.69,30.7,35.05,18.93,AVOID - Poor risk-adjusted score
MARA,21,46.18,0.204,0.791,1.39,0.03,0.3,335.71,76.73,36.54,45.11,18.9,AVOID - Poor risk-adjusted score
ONON,21,60.11,-0.163,0.813,1.1,0.018,0.0,44.05,52.57,48.88,39.41,18.79,AVOID - Poor risk-adjusted score
PTON,21,65.06,0.384,0.768,2.65,0.041,0.0,19.24,68.95,49.93,68.52,18.75,AVOID - Poor risk-adjusted score
ARWR,21,48.81,0.147,0.677,1.08,0.022,0.45,243.62,77.08,33.02,38.84,18.64,AVOID - Poor risk-adjusted score
EEFT,21,48.19,-0.097,0.727,0.69,0.014,0.0,264.1,50.37,35.02,30.86,18.29,AVOID - Poor risk-adjusted score
ATHM,21,53.76,0.173,0.65,1.3,0.024,0.2,119.14,71.07,34.92,42.03,18.28,AVOID - Poor risk-adjusted score
AAL,21,50.18,0.215,0.731,1.52,0.03,0.2,204.19,72.91,36.69,45.7,18.12,AVOID - Poor risk-adjusted score
CCJ,21,62.63,0.345,0.731,2.44,0.039,0.2,28.9,72.02,45.76,61.72,17.93,AVOID - Poor risk-adjusted score
ACLS,21,46.64,0.19,0.737,1.34,0.029,0.1,317.19,71.22,34.35,41.95,17.91,AVOID - Poor risk-adjusted score
ZD,21,51.0,0.338,0.839,2.23,0.044,0.1,183.95,72.79,42.79,57.52,17.79,AVOID - Poor risk-adjusted score
TAL,21,61.2,0.206,0.606,1.6,0.026,0.2,36.24,69.57,37.09,45.86,17.65,AVOID - Poor risk-adjusted score
TRMB,21,48.65,0.099,0.576,0.79,0.016,0.0,247.24,65.67,28.03,31.42,17.57,AVOID - Poor risk-adjusted score
