ticker,appearances,avg_score,linear_slope,linear_r2,score_std,score_cv,trend_consistency,avg_rank,stability_score,r2_adjusted_score,slope_adjusted_score,stability_adjusted_score,recommendation
MP,23,72.61,-0.05,0.708,0.39,0.005,0.27,3.0,56.17,51.43,48.27,34.72,WATCH - Monitor for opportunity
SSRM,23,75.42,-0.049,0.64,0.41,0.005,0.45,1.91,57.75,48.25,45.31,32.22,WATCH - Monitor for opportunity
PLTR,23,58.43,0.073,0.782,0.55,0.009,0.14,58.48,75.24,45.68,49.8,32.18,HOLD - Modest potential
INMD,23,53.94,0.112,0.898,0.78,0.014,0.05,116.52,76.4,48.43,55.02,30.89,HOLD - Modest potential
URBN,23,60.33,0.192,0.839,1.39,0.023,0.27,43.35,78.33,50.64,61.95,25.91,WATCH - Monitor for opportunity
RKLB,23,67.39,0.239,0.829,1.74,0.026,0.36,10.52,79.56,55.87,70.84,25.83,WATCH - Monitor for opportunity
LITE,23,63.4,0.179,0.773,1.35,0.021,0.14,25.57,73.79,49.01,59.29,25.24,WATCH - Monitor for opportunity
MSTR,23,46.89,0.117,0.835,0.85,0.018,0.14,307.87,75.98,39.17,44.73,24.2,AVOID - Poor risk-adjusted score
MHO,23,54.69,0.138,0.765,1.05,0.019,0.27,103.35,76.49,41.83,48.76,23.84,AVOID - Poor risk-adjusted score
YELP,23,50.11,0.126,0.798,0.93,0.019,0.09,201.22,73.88,39.96,46.04,23.82,AVOID - Poor risk-adjusted score
IPGP,23,50.69,0.193,0.886,1.36,0.027,0.27,187.83,79.35,44.92,54.98,23.29,AVOID - Poor risk-adjusted score
HUBG,23,46.22,0.122,0.803,0.9,0.019,0.18,332.87,75.79,37.13,42.61,22.42,AVOID - Poor risk-adjusted score
ALRM,23,44.04,0.091,0.769,0.69,0.016,0.27,406.57,76.97,33.89,37.69,22.3,AVOID - Poor risk-adjusted score
MTZ,23,52.16,0.144,0.757,1.1,0.021,0.18,151.83,74.25,39.5,46.31,22.09,AVOID - Poor risk-adjusted score
AFRM,23,59.91,-0.123,0.806,0.91,0.015,0.27,44.57,58.13,48.3,41.13,21.59,AVOID - Poor risk-adjusted score
AXTA,23,43.97,0.068,0.683,0.54,0.012,0.05,409.26,70.17,30.04,32.56,21.1,AVOID - Poor risk-adjusted score
GNW,23,59.64,0.102,0.591,0.88,0.015,0.09,47.09,68.07,35.23,39.62,21.08,AVOID - Poor risk-adjusted score
AEIS,23,58.11,0.176,0.691,1.4,0.024,0.23,62.83,72.86,40.15,48.44,20.17,AVOID - Poor risk-adjusted score
KGC,23,65.71,0.139,0.582,1.21,0.018,0.27,15.96,71.06,38.23,44.64,20.17,AVOID - Poor risk-adjusted score
JNPR,23,48.81,-0.07,0.692,0.56,0.011,0.18,241.13,53.26,33.8,30.87,19.79,AVOID - Poor risk-adjusted score
WYNN,23,44.84,0.12,0.734,0.93,0.021,0.18,380.65,73.57,32.89,37.68,19.53,AVOID - Poor risk-adjusted score
FHI,23,54.91,0.106,0.597,0.91,0.017,0.09,99.43,68.08,32.79,37.03,19.4,AVOID - Poor risk-adjusted score
ONON,23,59.98,-0.157,0.836,1.14,0.019,0.09,45.57,54.99,50.12,40.77,19.06,AVOID - Poor risk-adjusted score
EEFT,23,48.1,-0.095,0.769,0.72,0.015,0.0,266.87,51.58,36.99,32.69,19.04,AVOID - Poor risk-adjusted score
NBIX,23,49.16,0.104,0.64,0.87,0.018,0.0,231.52,67.44,31.46,35.47,19.02,AVOID - Poor risk-adjusted score
MBLY,23,49.7,0.168,0.725,1.31,0.026,0.27,217.43,74.57,36.03,43.17,18.7,AVOID - Poor risk-adjusted score
AAL,23,50.37,0.21,0.772,1.59,0.031,0.09,199.61,71.84,38.91,48.28,18.67,AVOID - Poor risk-adjusted score
TAL,23,61.38,0.2,0.649,1.65,0.027,0.18,35.3,70.42,39.85,49.07,18.52,AVOID - Poor risk-adjusted score
PTON,23,65.3,0.35,0.764,2.65,0.041,0.09,18.3,70.68,49.9,67.46,18.46,AVOID - Poor risk-adjusted score
ATHM,23,53.87,0.156,0.649,1.29,0.024,0.18,118.13,70.73,34.98,41.48,18.15,AVOID - Poor risk-adjusted score
AMBA,23,61.55,0.2,0.634,1.66,0.027,0.09,34.91,68.12,39.0,48.0,18.02,AVOID - Poor risk-adjusted score
BWA,23,48.23,0.217,0.785,1.63,0.034,0.18,262.39,73.82,37.87,47.25,17.99,AVOID - Poor risk-adjusted score
APP,23,49.79,0.196,0.737,1.51,0.03,0.05,215.0,69.98,36.7,45.03,17.91,AVOID - Poor risk-adjusted score
CSGP,23,46.84,0.048,0.518,0.44,0.009,0.18,309.26,68.23,24.26,25.71,17.84,AVOID - Poor risk-adjusted score
CCJ,23,62.86,0.317,0.736,2.45,0.039,0.18,27.78,71.82,46.27,61.52,17.84,AVOID - Poor risk-adjusted score
ANSS,23,50.9,-0.072,0.613,0.61,0.012,0.18,178.26,50.83,31.2,28.44,17.7,AVOID - Poor risk-adjusted score
CHRW,23,40.65,0.14,0.761,1.07,0.026,0.27,526.43,75.67,30.95,36.17,17.49,AVOID - Poor risk-adjusted score
BURL,23,37.77,-0.081,0.817,0.59,0.016,0.09,631.39,54.77,30.88,27.8,17.45,AVOID - Poor risk-adjusted score
ATGE,23,55.26,0.171,0.631,1.43,0.026,0.27,95.3,71.79,34.85,41.87,17.26,AVOID - Poor risk-adjusted score
WSM,23,47.1,0.148,0.681,1.19,0.025,0.05,300.78,68.81,32.06,37.73,17.25,AVOID - Poor risk-adjusted score
DXC,23,39.29,-0.076,0.764,0.58,0.015,0.09,571.78,53.25,30.01,27.18,17.22,AVOID - Poor risk-adjusted score
ZD,23,51.17,0.297,0.8,2.2,0.043,0.0,180.52,69.68,40.91,53.82,16.8,AVOID - Poor risk-adjusted score
INCY,23,53.16,0.33,0.808,2.43,0.046,0.27,134.57,75.12,42.96,57.52,16.75,AVOID - Poor risk-adjusted score
MNSO,23,56.39,0.217,0.659,1.77,0.031,0.18,83.22,70.28,37.19,46.39,16.73,AVOID - Poor risk-adjusted score
ACLS,23,47.03,0.239,0.765,1.81,0.039,0.09,304.57,70.92,35.98,45.62,16.22,AVOID - Poor risk-adjusted score
SKYW,23,51.35,0.156,0.615,1.32,0.026,0.14,171.22,68.6,31.56,37.41,16.14,AVOID - Poor risk-adjusted score
DY,23,58.05,-0.09,0.56,0.8,0.014,0.27,62.13,50.87,32.49,28.89,16.05,AVOID - Poor risk-adjusted score
ALK,23,52.92,0.183,0.631,1.53,0.029,0.23,137.74,70.59,33.41,40.57,16.04,AVOID - Poor risk-adjusted score
MFC,23,47.03,0.183,0.691,1.46,0.031,0.18,302.39,71.25,32.48,39.42,16.03,AVOID - Poor risk-adjusted score
HLF,23,49.15,0.248,0.741,1.91,0.039,0.18,236.17,71.97,36.4,46.44,15.95,AVOID - Poor risk-adjusted score
GWRE,23,56.16,-0.122,0.661,0.99,0.018,0.09,84.43,49.87,37.1,31.63,15.87,AVOID - Poor risk-adjusted score
SNV,23,60.58,0.252,0.634,2.1,0.035,0.36,43.78,72.84,38.43,49.16,15.86,AVOID - Poor risk-adjusted score
QDEL,23,41.87,-0.109,0.788,0.81,0.019,0.09,484.0,53.51,32.99,28.6,15.77,AVOID - Poor risk-adjusted score
MARA,23,46.23,0.166,0.668,1.34,0.029,0.27,333.35,72.6,30.9,36.95,15.76,AVOID - Poor risk-adjusted score
UHAL,23,43.98,0.142,0.66,1.16,0.026,0.36,410.65,74.43,29.03,33.97,15.73,AVOID - Poor risk-adjusted score
ETSY,23,49.65,0.379,0.859,2.72,0.055,0.18,226.43,73.93,42.64,58.4,15.72,AVOID - Poor risk-adjusted score
VEEV,23,51.78,-0.101,0.632,0.84,0.016,0.09,158.65,49.16,32.74,28.7,15.6,AVOID - Poor risk-adjusted score
ELF,23,47.06,0.235,0.738,1.82,0.039,0.09,302.91,70.1,34.73,43.9,15.59,AVOID - Poor risk-adjusted score
RIVN,23,47.07,0.292,0.799,2.17,0.046,0.05,304.87,70.26,37.6,49.33,15.56,AVOID - Poor risk-adjusted score
SQM,23,50.33,0.16,0.612,1.36,0.027,0.18,198.13,69.28,30.78,36.64,15.52,AVOID - Poor risk-adjusted score
BNTX,23,57.82,0.167,0.553,1.49,0.026,0.18,66.22,67.66,32.0,38.32,15.38,AVOID - Poor risk-adjusted score
EDU,23,48.21,-0.1,0.657,0.82,0.017,0.09,263.3,49.84,31.67,27.81,15.32,AVOID - Poor risk-adjusted score
TSLA,23,46.94,0.203,0.689,1.63,0.035,0.09,306.91,69.01,32.32,39.9,15.19,AVOID - Poor risk-adjusted score
AMZN,23,38.55,0.079,0.602,0.68,0.018,0.14,601.57,69.02,23.19,25.46,15.18,AVOID - Poor risk-adjusted score
GNTX,23,47.26,0.266,0.754,2.03,0.043,0.0,298.91,68.31,35.62,45.99,15.16,AVOID - Poor risk-adjusted score
NOK,23,47.46,-0.142,0.785,1.06,0.022,0.27,288.35,56.77,37.27,30.91,14.98,AVOID - Poor risk-adjusted score
CELH,23,53.84,0.556,0.922,3.84,0.071,0.45,131.7,79.61,49.63,71.55,14.78,AVOID - Poor risk-adjusted score
CGNX,23,52.01,0.333,0.751,2.55,0.049,0.18,162.61,71.26,39.04,52.35,14.75,AVOID - Poor risk-adjusted score
TREE,23,44.94,0.411,0.909,2.86,0.064,0.09,377.96,72.72,40.84,56.62,14.67,AVOID - Poor risk-adjusted score
PFG,23,45.36,0.194,0.675,1.57,0.035,0.0,366.39,66.8,30.63,37.52,14.62,AVOID - Poor risk-adjusted score
FSS,23,53.38,0.239,0.641,1.98,0.037,0.09,128.09,67.33,34.19,43.33,14.55,AVOID - Poor risk-adjusted score
NCLH,23,50.96,0.319,0.74,2.46,0.048,0.27,188.52,72.83,37.71,50.21,14.51,AVOID - Poor risk-adjusted score
MOMO,23,58.06,-0.166,0.713,1.31,0.022,0.09,62.96,50.97,41.41,33.27,14.43,AVOID - Poor risk-adjusted score
TLN,23,55.45,0.132,0.5,1.24,0.022,0.32,91.87,49.13,27.72,32.13,14.37,AVOID - Poor risk-adjusted score
MMSI,23,49.18,-0.067,0.514,0.62,0.013,0.0,226.35,44.16,25.28,23.18,14.31,AVOID - Poor risk-adjusted score
BLD,23,44.92,0.353,0.837,2.56,0.057,0.18,381.43,73.04,37.6,50.91,14.29,AVOID - Poor risk-adjusted score
