Factor,Pearson,p-value,Spearman,Significant,Error
momentum,0.4358191179170221,4.690674078040937e-17,0.427249520976083,Yes,
technical,0.06349683284120977,0.245036766450854,0.21283386268411172,Yes,
liquidity,0.06286052761510383,0.24980764422619486,0.1397456344012725,Yes,
financial_health,0.05261759343040597,0.3355430522882756,0.11227221262307971,Yes,
options_flow,0.05535875549757572,0.31093936846923315,0.08361667526288703,No,
growth,0.12700378096311749,0.019686564742930093,0.06872270418392684,Yes,
insider,0.10048157090718438,0.0654154665140978,0.06428036441064934,No,
value,0.19517142323170034,0.00031301928451565864,0.058817698333105226,Yes,
size,0.05337837218353705,0.3285926920482728,0.03688819403118202,No,
carry,-0.03366411435354118,0.5379807160962745,-0.051009681296668906,No,
quality,-0.13227543882538498,0.015102225092975076,-0.16233009978935747,Yes,
stability,-0.18878836478876412,0.0004936128850107786,-0.20730378472471422,Yes,
