ticker,appearances,avg_score,linear_slope,linear_r2,score_std,score_cv,trend_consistency,avg_rank,stability_score,r2_adjusted_score,slope_adjusted_score,stability_adjusted_score,recommendation
NVT,17,68.84,0.1963,0.87,1.03,0.015,0.38,260.65,82.1,59.9,73.52,36.2,HOLD - Modest potential
MANH,17,81.77,-0.0203,0.513,0.14,0.002,0.12,99.71,47.72,41.94,40.88,35.89,BUY - High score acceptable risk
GDDY,17,68.12,-0.0437,0.698,0.26,0.004,0.25,272.29,55.57,47.57,44.98,35.8,HOLD - Stable but flat
TRMB,17,69.85,0.0448,0.614,0.28,0.004,0.19,243.24,71.77,42.89,45.28,35.38,HOLD - Stable but flat
AMD,17,84.72,0.1257,0.64,0.77,0.009,0.06,66.47,69.53,54.19,62.43,35.27,BUY - High score acceptable risk
NWSA,17,64.34,0.1525,0.836,0.82,0.013,0.25,338.29,78.82,53.81,63.59,35.0,HOLD - Modest potential
LUMN,17,39.09,0.0094,0.923,0.05,0.001,0.31,782.35,73.26,36.09,36.52,34.84,HOLD - Modest potential
LRCX,17,87.55,0.1844,0.684,1.09,0.012,0.12,38.88,71.77,59.89,72.79,34.79,HOLD - Modest potential
TSM,17,84.65,0.1004,0.594,0.64,0.008,0.12,67.06,69.57,50.3,56.49,34.48,HOLD - Modest potential
ACGL,17,73.36,-0.0231,0.556,0.15,0.002,0.06,201.29,47.71,40.76,39.58,34.37,WATCH - Monitor for opportunity
VRT,17,76.79,0.2085,0.779,1.16,0.015,0.25,156.0,76.86,59.81,74.12,34.36,HOLD - Modest potential
AEIS,17,74.85,0.2282,0.812,1.24,0.017,0.38,182.24,80.2,60.78,76.45,34.12,HOLD - Modest potential
NVST,17,56.79,0.1121,0.844,0.6,0.011,0.5,477.88,84.28,47.94,54.49,34.11,HOLD - Modest potential
PSTG,17,80.24,0.0415,0.515,0.28,0.004,0.19,116.65,68.84,41.3,43.43,33.84,HOLD - Modest potential
BMRN,17,83.51,-0.0125,0.448,0.09,0.001,0.25,81.65,48.32,37.4,36.81,33.74,WATCH - Monitor for opportunity
SMCI,17,68.17,0.1388,0.754,0.78,0.011,0.25,272.41,76.48,51.42,59.99,33.65,HOLD - Modest potential
BROS,17,68.57,-0.1087,0.884,0.57,0.008,0.12,263.88,58.18,60.58,52.55,33.54,WATCH - Monitor for opportunity
VIAV,17,67.44,0.1441,0.765,0.81,0.012,0.25,285.47,76.76,51.6,60.52,33.49,HOLD - Modest potential
PAYC,17,91.45,-0.0952,0.653,0.58,0.006,0.25,19.12,53.97,59.75,52.78,33.47,WATCH - Monitor for opportunity
MU,17,75.67,0.3588,0.922,1.83,0.024,0.5,170.41,85.24,69.76,94.7,33.45,HOLD - Modest potential
KLAC,17,85.86,0.142,0.624,0.88,0.01,0.38,52.0,75.2,53.59,62.73,33.36,HOLD - Modest potential
VIPS,17,58.28,0.0823,0.758,0.46,0.008,0.12,446.59,74.45,44.18,48.66,33.26,HOLD - Modest potential
AFRM,17,60.2,0.1649,0.858,0.87,0.014,0.5,414.88,84.3,51.68,61.76,33.0,HOLD - Modest potential
TPR,17,68.53,0.1483,0.75,0.84,0.012,0.12,266.0,73.76,51.37,60.48,32.89,HOLD - Modest potential
EME,17,74.17,0.2731,0.841,1.46,0.02,0.38,192.0,80.76,62.36,80.86,32.88,HOLD - Modest potential
SHAK,17,62.16,0.2462,0.933,1.25,0.02,0.12,376.59,78.48,58.0,73.89,32.86,HOLD - Modest potential
CIEN,17,75.29,0.1553,0.7,0.91,0.012,0.25,176.24,74.79,52.69,62.44,32.7,HOLD - Modest potential
FIVE,17,57.1,0.1398,0.85,0.74,0.013,0.62,471.0,86.7,48.54,56.69,32.53,HOLD - Modest potential
HAE,17,57.29,0.1109,0.8,0.61,0.011,0.06,466.71,74.18,45.82,52.01,32.35,HOLD - Modest potential
FOUR,17,55.16,0.0987,0.799,0.54,0.01,0.06,506.0,74.24,44.07,49.4,32.06,HOLD - Modest potential
ARM,17,88.86,0.1043,0.539,0.7,0.008,0.38,30.0,72.88,47.87,53.97,31.82,HOLD - Modest potential
TS,17,79.93,0.1478,0.643,0.9,0.011,0.12,118.76,70.66,51.39,60.48,31.78,HOLD - Modest potential
