ticker,appearances,avg_score,linear_slope,linear_r2,score_std,score_cv,trend_consistency,avg_rank,stability_score,r2_adjusted_score,slope_adjusted_score,recommendation
COIN,12,83.12666666666665,0.6752447552447548,0.9084086096927038,2.4456707782437825,0.029421013452287068,0.8181818181818182,83.41666666666667,90.67379330918877,75.51297969505548,110.77400338701652,STRONG BUY - Elite performer
AMD,12,84.50000000000001,0.21755244755244665,0.9104927278710466,0.7870514595628398,0.009314218456364967,0.36363636363636365,69.0,83.65608726322218,76.93663550510345,96.01385150929066,BUY - Quality growth
MU,12,74.61583333333334,0.2709440559440561,0.9072217475766494,0.9819746970037244,0.013160406486608843,0.6363636363636364,183.58333333333334,88.62788450591133,67.69310671355468,87.65582180871067,BUY - Quality growth
CELH,12,85.87166666666667,0.22202797202797178,0.81411424518185,0.8494589781475933,0.009892191582177978,0.09090909090909091,51.583333333333336,75.25239001541954,69.90934709084077,87.53735142392074,BUY - Quality growth
DASH,12,92.1075,0.036958041958042025,0.8611187115540588,0.13748484764996252,0.001492656381401759,0.36363636363636365,16.25,82.95702298120887,79.31549172446547,82.9692819329477,BUY - High score acceptable risk
ITRI,12,68.84333333333332,0.2274125874125883,0.9211085013232271,0.8179683503792967,0.011881591299752532,0.5454545454545454,256.1666666666667,87.35418681881247,63.412179592762016,79.71798635480717,BUY - Quality growth
CCJ,12,75.52999999999999,0.1903496503496504,0.8596558074259161,0.7087077441842071,0.009383129143177642,0.45454545454545453,171.16666666666666,83.94227039936881,64.92980313487944,79.30958779727834,BUY - Steady performer
AEIS,12,74.3925,0.3066083916083916,0.7978459164078247,1.1849551679283066,0.01592842246097801,0.2727272727272727,186.58333333333334,77.79708070068239,59.35375233636909,78.49242634711216,BUY - Quality growth
PDD,12,82.63166666666667,0.059930069930069954,0.8783002325155836,0.22074998427079456,0.0026714937889525145,0.6363636363636364,89.58333333333333,88.80913032384498,72.57541204648355,77.97190483789304,BUY - High score acceptable risk
JBL,12,60.23916666666667,0.6143706293706291,0.8760854821070803,2.265867965899357,0.037614530400752945,0.45454545454545453,406.4166666666667,81.61202051404621,52.77465937089543,76.82495130214659,BUY - Quality growth
NXT,12,92.46749999999999,0.08912587412587418,0.7419273138807381,0.3571910086587665,0.0038628816466192615,0.2727272727272727,13.833333333333334,77.32607670630567,68.60416389626714,76.12315121030345,BUY - High score acceptable risk
BRO,12,68.56083333333333,0.2823426573426575,0.8489735144285315,1.0578079404546412,0.0154287497544221,0.09090909090909091,261.9166666666667,75.74451227559555,58.20633162714881,75.90315380767389,BUY - Quality growth
UTHR,12,90.64166666666665,-0.06209790209790215,0.9040319754566493,0.2254563273797287,0.0024873365160951962,0.45454545454545453,22.666666666666668,65.96313470299906,81.94296497534977,75.63296821419006,HOLD - Stable but flat
LPX,12,72.99083333333333,0.21500000000000005,0.8283124572514602,0.8154902240711144,0.011172501899614534,0.09090909090909091,204.91666666666666,75.55030534576417,60.45921651516512,75.304772423199,BUY - Quality growth
PLNT,12,74.0,0.24041958041958064,0.7992907181782746,0.9283138836981102,0.012544782212136623,0.18181818181818182,192.25,76.36060696049822,59.14751314519232,75.05214802545412,BUY - Quality growth
NEM,12,81.89,0.2849650349650344,0.6919841951007755,1.182553733803809,0.014440758747146282,0.6363636363636364,98.16666666666667,82.04272270558135,56.6665857368025,74.01187274532735,BUY - Quality growth
NVT,12,68.41083333333334,0.2404545454545451,0.8513129642126067,0.8996337989550081,0.01315045812366474,0.45454545454545453,263.8333333333333,83.31525220492082,58.23902930925461,73.9011840369949,BUY - Quality growth
CEG,12,64.79583333333333,0.29087412587412526,0.8633018516212527,1.0806900444726129,0.016678387928327893,0.2727272727272727,328.8333333333333,79.68576221035025,55.938362894008755,73.31674343018193,BUY - Quality growth
MTSI,12,87.02,0.08776223776223789,0.7511020757747428,0.3495711658589713,0.004017135898172504,0.45454545454545453,39.083333333333336,81.22225777433412,65.36090263391812,72.41829344387426,BUY - High score acceptable risk
VRT,12,76.32666666666667,0.2554545454545456,0.7284476661366388,1.0332177354695826,0.013536785773468197,0.45454545454545453,160.66666666666666,79.59066049766143,55.59998219732252,71.27835299985632,BUY - Quality growth
VST,12,66.07666666666667,0.31489510489510464,0.8074524653073428,1.209719894116907,0.018307822642136512,0.45454545454545453,306.5833333333333,81.48370078591573,53.35376739929153,70.87624871575248,BUY - Quality growth
KLAC,12,85.605,0.2053846153846159,0.6670735680544679,0.8680773775034901,0.010140498539845687,0.6363636363636364,54.416666666666664,81.72542991492219,57.104832793302734,70.5997860863032,BUY - Quality growth
KEYS,12,84.78416666666666,0.0587762237762233,0.766755471780372,0.23171312483806641,0.0027329763792933006,0.2727272727272727,66.58333333333333,78.18391197002728,65.00872371200569,69.75085192304088,BUY - High score acceptable risk
SPOT,12,89.22916666666667,0.00534965034965035,0.7733825229887514,0.0209993386139246,0.0002353416421826712,0.5454545454545454,28.25,69.43668278418554,69.00827804085047,69.46971322773616,BUY - High score acceptable risk
CMG,12,70.1575,0.1744405594405593,0.8213596627379596,0.6644436896130982,0.009470743535802989,0.2727272727272727,236.41666666666666,79.14826098310394,57.6245405385384,69.4493179651155,BUY - Steady performer
DOCU,12,82.63,-0.051748251748251976,0.887249914126656,0.18964879822099331,0.0022951567012101334,0.45454545454545453,89.41666666666667,65.47889084458775,73.31346040428558,68.59743715348293,HOLD - Stable but flat
NBIX,12,80.02583333333334,0.04912587412587399,0.8061574018047643,0.1888764293276304,0.002360193220867808,0.2727272727272727,118.16666666666667,79.4032481866016,64.5134178772611,68.45521669738339,BUY - High score acceptable risk
EDU,12,75.15749999999998,0.15786713286713355,0.7624473628196213,0.6241143725311907,0.008304086385672631,0.09090909090909091,175.91666666666666,73.8611940642032,57.30363767111568,68.05888104195925,HOLD - Modest potential
ALGM,12,65.75833333333333,0.22804195804195754,0.8188688470254016,0.8699313510591243,0.013229218366125324,0.45454545454545453,312.25,82.3340526650586,53.847450598978696,67.72491620030391,BUY - Quality growth
FLEX,12,56.47666666666666,0.32727272727272727,0.8862166174031875,1.2000995329092037,0.021249475292023912,0.6363636363636364,479.3333333333333,87.18882372016597,50.05056049554068,66.91957784604269,BUY - Quality growth
YELP,12,83.45916666666666,-0.08583916083916077,0.8939366664740178,0.3134075709927179,0.0037552204690044183,0.2727272727272727,81.5,61.89712340186554,74.60720923669946,66.72259868308234,HOLD - Stable but flat
CPRT,12,89.4575,-0.07003496503496498,0.8147999591382389,0.2678346815979332,0.002993988000982961,0.2727272727272727,27.0,59.599145428594326,72.889967344609,66.5733247480406,HOLD - Stable but flat
APP,12,82.38833333333332,-0.028601398601397925,0.8333867509835197,0.10815369721938221,0.0013127307331464676,0.2727272727272727,92.08333333333333,60.3248749107364,68.66134543561387,66.21075729099078,HOLD - Stable but flat
RDDT,12,90.88083333333333,0.08891608391608397,0.6518151852327589,0.38018544451651654,0.0041833402112640165,0.2727272727272727,21.166666666666668,74.59066699040181,59.23750721327416,65.7151233074764,BUY - High score acceptable risk
WDAY,12,84.92666666666666,-0.12769230769230805,0.9149272262255244,0.460838607564756,0.005426312201484685,0.2727272727272727,62.5,62.359731021162716,77.70171956591302,65.70413842837436,WATCH - Needs more analysis
EME,12,73.4675,0.24870629370629369,0.6978478808258233,1.027741253104755,0.013989059830602033,0.45454545454545453,200.16666666666666,78.62743953262358,51.26913918457117,65.42855361909697,BUY - Quality growth
EQT,12,69.8275,0.28213286713286734,0.711699225439855,1.1544704774628654,0.01653317786635445,0.09090909090909091,242.08333333333334,71.51584079474202,49.696177664401475,64.79739024004637,HOLD - Modest potential
LRCX,12,87.15250000000002,0.2250699300699301,0.5916736835300671,1.0100752859729487,0.011589745399993672,0.2727272727272727,40.916666666666664,72.0457814204481,51.565840703854185,64.71408189583106,BUY - High score acceptable risk
SHAK,12,61.51499999999999,0.22573426573426536,0.8365231379684863,0.8519927620975815,0.01385016275863743,0.18181818181818182,386.0,77.34704149955448,51.458720832131434,64.61124126992553,BUY - Quality growth
RMD,12,88.39833333333335,0.23713286713286633,0.5755550496481209,1.0790106064765461,0.012206232468295547,0.45454545454545453,31.666666666666668,75.13693733352316,50.878107130477815,64.40988953818344,BUY - High score acceptable risk
BMRN,12,83.51916666666666,-0.026328671328671328,0.796257695046118,0.1018543349865664,0.0012195324624475388,0.2727272727272727,81.16666666666667,59.22032305968424,66.50277914217257,64.31727219425827,HOLD - Stable but flat
RMBS,12,95.78499999999998,0.06370629370629359,0.6172118852114652,0.27992558534962986,0.002922436554258286,0.09090909090909091,6.0,70.04229471909994,59.11964042498018,63.7881007593982,BUY - High score acceptable risk
IPGP,12,73.40833333333332,0.08755244755244736,0.7819822438517875,0.341780468852286,0.004655881060537443,0.18181818181818182,199.66666666666666,76.63024284586352,57.40401321741995,63.58790002467566,HOLD - Stable but flat
ARM,12,88.61166666666666,0.1437062937062942,0.6108436472757345,0.6347287259574418,0.007163037891445165,0.2727272727272727,30.583333333333332,73.06355108367298,54.12787365784829,63.45321612880603,BUY - High score acceptable risk
IDXX,12,76.90333333333335,0.037132867132867044,0.7853512658345323,0.14464515969164682,0.001880869832581771,0.45454545454545453,155.08333333333334,82.46336008268689,60.396130180228326,63.19145677065063,HOLD - Stable but flat
DDOG,12,85.44749999999999,0.1438811188811186,0.6277222917560931,0.6268987823670834,0.007336654464637157,0.09090909090909091,57.083333333333336,69.9161851244009,53.63730052482876,62.88845354945004,BUY - High score acceptable risk
PINS,12,88.8175,0.04297202797202878,0.6677956929584983,0.1815270870513107,0.0020438211732069773,0.09090909090909091,30.083333333333332,71.64767048961608,59.31194395934142,62.485686865288486,BUY - High score acceptable risk
GRMN,12,87.93333333333334,0.16902097902097915,0.5916289096321155,0.7585658984044975,0.008626602332120896,0.09090909090909091,34.416666666666664,68.7043888739332,52.02390212031735,62.404713853132904,BUY - High score acceptable risk
TPR,12,68.2375,0.18877622377622355,0.743008133676815,0.7560106370503875,0.011079108071813703,0.0,266.6666666666667,71.18233320312308,50.70101752177166,61.84930724227836,HOLD - Modest potential
META,12,94.2475,0.03842657342657355,0.624300453777888,0.16788512937918854,0.0017813218321885305,0.0,8.416666666666666,68.55088143011778,58.838757017431504,61.656309611272654,BUY - High score acceptable risk
PAYC,12,91.63166666666666,-0.1492307692307686,0.809921569880539,0.5724193295905426,0.0062469597074214815,0.45454545454545453,18.333333333333332,62.76386021658311,74.21446331743692,60.97905113538484,WATCH - Needs more analysis
GWRE,12,84.46583333333332,-0.10290209790209781,0.8172114958849174,0.3929473741977279,0.00465214582856257,0.09090909090909091,69.0,55.869312111873086,69.02645000949944,60.33855724026638,WATCH - Needs more analysis
KFY,12,66.56083333333333,0.3684965034965035,0.6548142991537111,1.5719969165222805,0.023617446444064157,0.0,298.9166666666667,67.28268433020492,43.584985430253646,59.41688470981467,HOLD - Modest potential
LULU,12,82.00333333333333,-0.04594405594405623,0.7656047875019866,0.18126101499096714,0.0022104103287382687,0.36363636363636365,96.41666666666667,60.01982986491304,62.78214459112124,59.19233438090038,HOLD - Stable but flat
ULTA,12,70.44666666666667,0.20965034965034957,0.6723223435624518,0.8826412383044162,0.012529212240528288,0.09090909090909091,233.5,70.73493090100254,47.36286802949619,58.75075081413497,HOLD - Modest potential
ABNB,12,84.60083333333333,-0.050244755244755294,0.7405430515398166,0.2015547209954553,0.0023824200430900637,0.45454545454545453,67.83333333333333,61.068958632794576,62.650559279478095,58.73629699778401,HOLD - Stable but flat
